.HEADER
..NAMES
Time,V U1.V5
.DATA
9.1917e-09,0.0248
9.2013e-09,0.0211
9.2110e-09,0.0178
9.2206e-09,0.0148
9.2303e-09,0.0121
9.2399e-09,0.0097
9.2496e-09,0.0075
9.2592e-09,0.0055
9.2688e-09,0.0037
9.2785e-09,0.0020
9.2881e-09,0.0006
9.2978e-09,-0.0008
9.3074e-09,-0.0019
9.3171e-09,-0.0031
9.3267e-09,-0.0042
9.3364e-09,-0.0055
9.3460e-09,-0.0069
9.3556e-09,-0.0084
9.3653e-09,-0.0101
9.3749e-09,-0.0117
9.3846e-09,-0.0134
9.3942e-09,-0.0148
9.4039e-09,-0.0160
9.4135e-09,-0.0167
9.4232e-09,-0.0170
9.4328e-09,-0.0170
9.4425e-09,-0.0166
9.4521e-09,-0.0160
9.4617e-09,-0.0153
9.4714e-09,-0.0146
9.4810e-09,-0.0140
9.4907e-09,-0.0135
9.5003e-09,-0.0132
9.5100e-09,-0.0130
9.5196e-09,-0.0130
9.5293e-09,-0.0132
9.5389e-09,-0.0136
9.5486e-09,-0.0141
9.5582e-09,-0.0148
9.5678e-09,-0.0155
9.5775e-09,-0.0162
9.5871e-09,-0.0170
9.5968e-09,-0.0177
9.6064e-09,-0.0183
9.6161e-09,-0.0189
9.6257e-09,-0.0193
9.6354e-09,-0.0196
9.6450e-09,-0.0197
9.6546e-09,-0.0197
9.6643e-09,-0.0194
9.6739e-09,-0.0190
9.6836e-09,-0.0185
9.6932e-09,-0.0178
9.7029e-09,-0.0168
9.7125e-09,-0.0157
9.7222e-09,-0.0146
9.7318e-09,-0.0133
9.7415e-09,-0.0113
9.7511e-09,-0.0076
9.7607e-09,-0.0012
9.7704e-09,0.0085
9.7800e-09,0.0222
9.7897e-09,0.0406
9.7993e-09,0.0648
9.8090e-09,0.0956
9.8186e-09,0.1337
9.8283e-09,0.1787
9.8379e-09,0.2295
9.8475e-09,0.2850
9.8572e-09,0.3439
9.8668e-09,0.4050
9.8765e-09,0.4672
9.8861e-09,0.5298
9.8958e-09,0.5918
9.9054e-09,0.6522
9.9151e-09,0.7100
9.9247e-09,0.7648
9.9344e-09,0.8157
9.9440e-09,0.8626
9.9536e-09,0.9054
9.9633e-09,0.9439
