.HEADER
..NAMES
Time,V U1.U2
.DATA
6.9637e-09,1.2004
6.9733e-09,1.2005
6.9830e-09,1.2006
6.9926e-09,1.2008
7.0023e-09,1.2009
7.0119e-09,1.2011
7.0216e-09,1.2012
7.0312e-09,1.2012
7.0409e-09,1.2012
7.0505e-09,1.2011
7.0601e-09,1.2010
7.0698e-09,1.2008
7.0794e-09,1.2005
7.0891e-09,1.2003
7.0987e-09,1.2000
7.1084e-09,1.1998
7.1180e-09,1.1996
7.1277e-09,1.1994
7.1373e-09,1.1994
7.1469e-09,1.1994
7.1566e-09,1.1996
7.1662e-09,1.1998
7.1759e-09,1.2001
7.1855e-09,1.2004
7.1952e-09,1.2006
7.2048e-09,1.2008
7.2145e-09,1.2010
7.2241e-09,1.2011
7.2338e-09,1.2010
7.2434e-09,1.2002
7.2530e-09,1.1973
7.2627e-09,1.1901
7.2723e-09,1.1758
7.2820e-09,1.1516
7.2916e-09,1.1155
7.3013e-09,1.0672
7.3109e-09,1.0077
7.3206e-09,0.9390
7.3302e-09,0.8634
7.3398e-09,0.7833
7.3495e-09,0.7004
7.3591e-09,0.6159
7.3688e-09,0.5303
7.3784e-09,0.4444
7.3881e-09,0.3591
7.3977e-09,0.2753
7.4074e-09,0.1942
7.4170e-09,0.1171
7.4266e-09,0.0455
7.4363e-09,-0.0192
7.4459e-09,-0.0762
7.4556e-09,-0.1251
7.4652e-09,-0.1659
7.4749e-09,-0.1991
7.4845e-09,-0.2252
7.4942e-09,-0.2446
7.5038e-09,-0.2579
7.5135e-09,-0.2657
7.5231e-09,-0.2690
7.5327e-09,-0.2689
7.5424e-09,-0.2666
7.5520e-09,-0.2631
7.5617e-09,-0.2594
7.5713e-09,-0.2563
7.5810e-09,-0.2543
7.5906e-09,-0.2537
7.6003e-09,-0.2546
7.6099e-09,-0.2566
7.6196e-09,-0.2592
7.6292e-09,-0.2619
7.6388e-09,-0.2642
7.6485e-09,-0.2657
7.6581e-09,-0.2658
7.6678e-09,-0.2645
7.6774e-09,-0.2615
7.6871e-09,-0.2571
7.6967e-09,-0.2515
7.7064e-09,-0.2455
7.7160e-09,-0.2397
7.7256e-09,-0.2351
7.7353e-09,-0.2326
7.7449e-09,-0.2324
7.7546e-09,-0.2343
7.7642e-09,-0.2377
7.7739e-09,-0.2416
7.7835e-09,-0.2454
7.7932e-09,-0.2488
7.8028e-09,-0.2517
7.8125e-09,-0.2545
7.8221e-09,-0.2574
7.8317e-09,-0.2606
7.8414e-09,-0.2640
7.8510e-09,-0.2667
7.8607e-09,-0.2674
7.8703e-09,-0.2642
7.8800e-09,-0.2554
7.8896e-09,-0.2399
7.8993e-09,-0.2168
7.9089e-09,-0.1857
7.9185e-09,-0.1461
7.9282e-09,-0.0979
7.9378e-09,-0.0412
7.9475e-09,0.0233
7.9571e-09,0.0946
7.9668e-09,0.1711
7.9764e-09,0.2513
7.9861e-09,0.3335
7.9957e-09,0.4159
8.0054e-09,0.4967
8.0150e-09,0.5743
8.0246e-09,0.6475
8.0343e-09,0.7152
8.0439e-09,0.7769
8.0536e-09,0.8322
8.0632e-09,0.8812
8.0729e-09,0.9240
8.0825e-09,0.9612
8.0922e-09,0.9930
8.1018e-09,1.0201
8.1114e-09,1.0431
8.1211e-09,1.0623
8.1307e-09,1.0783
8.1404e-09,1.0915
8.1500e-09,1.1025
8.1597e-09,1.1116
8.1693e-09,1.1194
8.1790e-09,1.1261
8.1886e-09,1.1322
8.1983e-09,1.1380
8.2079e-09,1.1441
8.2175e-09,1.1507
8.2272e-09,1.1580
8.2368e-09,1.1657
8.2465e-09,1.1735
8.2561e-09,1.1808
8.2658e-09,1.1866
8.2754e-09,1.1906
8.2851e-09,1.1923
8.2947e-09,1.1917
8.3043e-09,1.1894
8.3140e-09,1.1860
8.3236e-09,1.1821
8.3333e-09,1.1787
8.3429e-09,1.1762
8.3526e-09,1.1747
8.3622e-09,1.1744
8.3719e-09,1.1751
8.3815e-09,1.1766
8.3911e-09,1.1788
8.4008e-09,1.1816
8.4104e-09,1.1849
8.4201e-09,1.1882
8.4297e-09,1.1912
8.4394e-09,1.1934
8.4490e-09,1.1944
8.4587e-09,1.1939
8.4683e-09,1.1917
8.4780e-09,1.1879
8.4876e-09,1.1826
8.4972e-09,1.1763
8.5069e-09,1.1692
8.5165e-09,1.1617
8.5262e-09,1.1542
8.5358e-09,1.1468
8.5455e-09,1.1396
8.5551e-09,1.1326
8.5648e-09,1.1260
8.5744e-09,1.1199
8.5840e-09,1.1143
8.5937e-09,1.1095
8.6033e-09,1.1057
8.6130e-09,1.1031
8.6226e-09,1.1019
8.6323e-09,1.1023
8.6419e-09,1.1043
8.6516e-09,1.1079
8.6612e-09,1.1132
8.6709e-09,1.1198
8.6805e-09,1.1275
8.6901e-09,1.1359
8.6998e-09,1.1444
8.7094e-09,1.1525
8.7191e-09,1.1596
8.7287e-09,1.1656
8.7384e-09,1.1701
8.7480e-09,1.1734
8.7577e-09,1.1756
8.7673e-09,1.1771
8.7769e-09,1.1782
8.7866e-09,1.1791
8.7962e-09,1.1800
8.8059e-09,1.1810
8.8155e-09,1.1820
8.8252e-09,1.1831
8.8348e-09,1.1843
8.8445e-09,1.1857
8.8541e-09,1.1873
8.8638e-09,1.1891
8.8734e-09,1.1912
8.8830e-09,1.1932
8.8927e-09,1.1952
8.9023e-09,1.1969
8.9120e-09,1.1983
8.9216e-09,1.1993
8.9313e-09,1.2000
8.9409e-09,1.2007
8.9506e-09,1.2012
8.9602e-09,1.2017
8.9698e-09,1.2023
8.9795e-09,1.2027
8.9891e-09,1.2029
8.9988e-09,1.2029
9.0084e-09,1.2024
9.0181e-09,1.2015
9.0277e-09,1.2004
9.0374e-09,1.1990
9.0470e-09,1.1976
9.0567e-09,1.1964
9.0663e-09,1.1956
9.0759e-09,1.1952
9.0856e-09,1.1955
9.0952e-09,1.1964
9.1049e-09,1.1980
9.1145e-09,1.2001
9.1242e-09,1.2026
9.1338e-09,1.2054
9.1435e-09,1.2082
9.1531e-09,1.2108
9.1627e-09,1.2129
9.1724e-09,1.2146
9.1820e-09,1.2155
9.1917e-09,1.2158
9.2013e-09,1.2156
9.2110e-09,1.2150
9.2206e-09,1.2141
9.2303e-09,1.2130
9.2399e-09,1.2118
9.2496e-09,1.2105
9.2592e-09,1.2092
9.2688e-09,1.2079
9.2785e-09,1.2065
9.2881e-09,1.2051
9.2978e-09,1.2038
9.3074e-09,1.2026
9.3171e-09,1.2017
9.3267e-09,1.2009
9.3364e-09,1.2003
9.3460e-09,1.1999
9.3556e-09,1.1995
9.3653e-09,1.1993
9.3749e-09,1.1992
9.3846e-09,1.1993
9.3942e-09,1.1996
9.4039e-09,1.2002
9.4135e-09,1.2009
9.4232e-09,1.2016
9.4328e-09,1.2023
9.4425e-09,1.2027
9.4521e-09,1.2029
9.4617e-09,1.2027
9.4714e-09,1.2021
9.4810e-09,1.2013
9.4907e-09,1.2004
9.5003e-09,1.1994
9.5100e-09,1.1986
9.5196e-09,1.1978
9.5293e-09,1.1974
9.5389e-09,1.1971
9.5486e-09,1.1972
9.5582e-09,1.1975
9.5678e-09,1.1980
9.5775e-09,1.1986
9.5871e-09,1.1994
9.5968e-09,1.2001
9.6064e-09,1.2008
9.6161e-09,1.2013
9.6257e-09,1.2017
9.6354e-09,1.2019
9.6450e-09,1.2020
9.6546e-09,1.2019
9.6643e-09,1.2018
9.6739e-09,1.2017
9.6836e-09,1.2015
9.6932e-09,1.2014
9.7029e-09,1.2011
9.7125e-09,1.2008
9.7222e-09,1.2004
9.7318e-09,1.2000
9.7415e-09,1.1995
9.7511e-09,1.1989
9.7607e-09,1.1985
9.7704e-09,1.1980
9.7800e-09,1.1977
9.7897e-09,1.1974
9.7993e-09,1.1973
9.8090e-09,1.1972
9.8186e-09,1.1973
9.8283e-09,1.1975
9.8379e-09,1.1979
9.8475e-09,1.1985
9.8572e-09,1.1992
9.8668e-09,1.1999
9.8765e-09,1.2007
9.8861e-09,1.2013
9.8958e-09,1.2017
9.9054e-09,1.2019
9.9151e-09,1.2019
9.9247e-09,1.2018
9.9344e-09,1.2015
9.9440e-09,1.2011
9.9536e-09,1.2008
9.9633e-09,1.2005
9.9729e-09,1.2002
9.9826e-09,1.2000
9.9922e-09,1.1999
1.00019e-08,1.1998
1.00115e-08,1.1998
1.00212e-08,1.1999
1.00308e-08,1.1999
1.00404e-08,1.2001
1.00501e-08,1.2002
1.00597e-08,1.2003
1.00694e-08,1.2003
1.00790e-08,1.2004
1.00887e-08,1.2005
1.00983e-08,1.2005
1.01080e-08,1.2006
1.01176e-08,1.2007
1.01273e-08,1.2009
1.01369e-08,1.2010
