.HEADER
..NAMES
Time,V U1.Y1
.DATA
2.32205e-08,0.5196
2.32437e-08,0.5297
2.32670e-08,0.5418
2.32903e-08,0.5553
2.33135e-08,0.5695
2.33368e-08,0.5846
2.33601e-08,0.5990
2.33833e-08,0.6103
2.34066e-08,0.6163
2.34299e-08,0.6154
2.34531e-08,0.6072
2.34764e-08,0.5915
2.34997e-08,0.5664
2.35229e-08,0.5284
2.35462e-08,0.4765
2.35695e-08,0.4140
2.35927e-08,0.3454
2.36160e-08,0.2936
2.36393e-08,0.3105
2.36625e-08,0.4235
2.36858e-08,0.5176
2.37091e-08,0.5883
2.37323e-08,0.6294
2.37556e-08,0.6483
2.37789e-08,0.6534
2.38021e-08,0.6485
2.38254e-08,0.6368
2.38487e-08,0.6206
2.38719e-08,0.6002
2.38952e-08,0.5785
2.39185e-08,0.5575
2.39417e-08,0.5388
2.39650e-08,0.5220
2.39883e-08,0.5072
2.40115e-08,0.4974
2.40348e-08,0.4952
2.40581e-08,0.5016
2.40813e-08,0.5169
2.41046e-08,0.5401
2.41279e-08,0.5711
2.41511e-08,0.6105
2.41744e-08,0.6611
2.41977e-08,0.7217
2.42209e-08,0.7893
2.42442e-08,0.8619
2.42675e-08,0.9345
2.42907e-08,1.0009
2.43140e-08,1.0575
2.43373e-08,1.1044
2.43605e-08,1.1432
2.43838e-08,1.1747
2.44071e-08,1.1994
2.44303e-08,1.2179
2.44536e-08,1.2322
2.44769e-08,1.2440
2.45002e-08,1.2539
2.45234e-08,1.2617
2.45467e-08,1.2673
2.45700e-08,1.2705
2.45932e-08,1.2709
2.46165e-08,1.2694
