.HEADER
..NAMES
Time,V U1.U3
.DATA
1.98468e-08,-0.0021
1.98700e-08,0.0206
1.98933e-08,0.0956
1.99166e-08,0.2406
1.99398e-08,0.3780
1.99631e-08,0.4827
1.99864e-08,0.5563
2.00096e-08,0.6003
2.00329e-08,0.6254
2.00562e-08,0.6374
2.00794e-08,0.6443
2.01027e-08,0.6508
2.01260e-08,0.6577
2.01492e-08,0.6656
2.01725e-08,0.6731
2.01958e-08,0.6793
2.02190e-08,0.6824
2.02423e-08,0.6809
2.02656e-08,0.6751
2.02888e-08,0.6674
2.03121e-08,0.6602
2.03354e-08,0.6536
2.03586e-08,0.6479
2.03819e-08,0.6482
2.04052e-08,0.6609
2.04284e-08,0.6897
2.04517e-08,0.7353
2.04750e-08,0.7965
2.04982e-08,0.8669
2.05215e-08,0.9388
2.05448e-08,1.0063
2.05680e-08,1.0642
2.05913e-08,1.1105
2.06146e-08,1.1458
2.06378e-08,1.1715
2.06611e-08,1.1889
2.06844e-08,1.1999
2.07076e-08,1.2075
2.07309e-08,1.2151
2.07542e-08,1.2238
2.07774e-08,1.2328
2.08007e-08,1.2410
2.08240e-08,1.2486
2.08472e-08,1.2561
2.08705e-08,1.2627
2.08938e-08,1.2673
2.09170e-08,1.2684
2.09403e-08,1.2635
2.09636e-08,1.2512
2.09868e-08,1.2323
2.10101e-08,1.2088
2.10334e-08,1.1847
2.10566e-08,1.1643
2.10799e-08,1.1499
2.11032e-08,1.1419
2.11264e-08,1.1399
2.11497e-08,1.1431
2.11730e-08,1.1502
2.11962e-08,1.1591
2.12195e-08,1.1673
2.12428e-08,1.1736
2.12660e-08,1.1774
2.12893e-08,1.1791
2.13126e-08,1.1793
2.13358e-08,1.1788
2.13591e-08,1.1780
2.13824e-08,1.1771
2.14056e-08,1.1763
2.14289e-08,1.1760
2.14522e-08,1.1775
2.14754e-08,1.1821
2.14987e-08,1.1904
2.15220e-08,1.2012
2.15452e-08,1.2122
2.15685e-08,1.2215
2.15918e-08,1.2275
2.16150e-08,1.2297
2.16383e-08,1.2281
2.16616e-08,1.2234
2.16848e-08,1.2168
2.17081e-08,1.2098
2.17314e-08,1.2037
2.17546e-08,1.1994
2.17779e-08,1.1973
2.18012e-08,1.1973
2.18244e-08,1.1986
2.18477e-08,1.2004
2.18710e-08,1.2019
2.18942e-08,1.2031
2.19175e-08,1.2043
2.19408e-08,1.2055
2.19640e-08,1.2059
2.19873e-08,1.2049
2.20106e-08,1.2021
2.20338e-08,1.1978
2.20571e-08,1.1929
2.20804e-08,1.1885
2.21037e-08,1.1857
2.21269e-08,1.1851
2.21502e-08,1.1867
2.21735e-08,1.1900
2.21967e-08,1.1944
2.22200e-08,1.1989
2.22433e-08,1.2028
2.22665e-08,1.2054
2.22898e-08,1.2063
