.HEADER
..NAMES
Time,V U1.E3
.DATA
1.64730e-08,-0.0723
1.64963e-08,-0.0805
1.65196e-08,-0.0856
1.65428e-08,-0.0864
1.65661e-08,-0.0834
1.65894e-08,-0.0757
1.66126e-08,-0.0615
1.66359e-08,-0.0419
1.66592e-08,-0.0200
1.66824e-08,0.0022
1.67057e-08,0.0234
1.67290e-08,0.0464
1.67522e-08,0.0905
1.67755e-08,0.2076
1.67988e-08,0.3723
1.68220e-08,0.4983
1.68453e-08,0.5798
1.68686e-08,0.6362
1.68918e-08,0.6559
1.69151e-08,0.6569
1.69384e-08,0.6547
1.69616e-08,0.6520
1.69849e-08,0.6490
1.70082e-08,0.6510
1.70314e-08,0.6610
1.70547e-08,0.6719
1.70780e-08,0.6801
1.71012e-08,0.6872
1.71245e-08,0.6933
1.71478e-08,0.6918
1.71710e-08,0.6799
1.71943e-08,0.6625
1.72176e-08,0.6432
1.72408e-08,0.6227
1.72641e-08,0.6045
1.72874e-08,0.5978
1.73106e-08,0.6087
1.73339e-08,0.6320
1.73572e-08,0.6509
1.73804e-08,0.6322
1.74037e-08,0.5482
1.74270e-08,0.4783
1.74502e-08,0.4426
1.74735e-08,0.4343
1.74968e-08,0.4511
1.75201e-08,0.4783
1.75433e-08,0.5022
1.75666e-08,0.5195
1.75899e-08,0.5341
1.76131e-08,0.5408
1.76364e-08,0.5371
1.76597e-08,0.5306
1.76829e-08,0.5277
1.77062e-08,0.5267
1.77295e-08,0.5263
1.77527e-08,0.5325
1.77760e-08,0.5489
1.77993e-08,0.5683
1.78225e-08,0.5853
1.78458e-08,0.5999
1.78691e-08,0.6080
1.78923e-08,0.6000
1.79156e-08,0.5704
1.79389e-08,0.5218
1.79621e-08,0.4569
1.79854e-08,0.3772
1.80087e-08,0.2901
1.80319e-08,0.2069
1.80552e-08,0.1345
1.80785e-08,0.0736
1.81017e-08,0.0259
1.81250e-08,-0.0066
1.81483e-08,-0.0267
1.81715e-08,-0.0400
1.81948e-08,-0.0483
1.82181e-08,-0.0511
1.82413e-08,-0.0508
1.82646e-08,-0.0518
1.82879e-08,-0.0544
1.83111e-08,-0.0580
1.83344e-08,-0.0642
1.83577e-08,-0.0743
1.83809e-08,-0.0853
1.84042e-08,-0.0934
1.84275e-08,-0.0973
1.84507e-08,-0.0964
1.84740e-08,-0.0880
1.84973e-08,-0.0706
1.85205e-08,-0.0470
1.85438e-08,-0.0208
1.85671e-08,0.0058
1.85903e-08,0.0303
1.86136e-08,0.0633
1.86369e-08,0.1272
1.86601e-08,0.2830
1.86834e-08,0.4326
1.87067e-08,0.5470
1.87299e-08,0.6173
1.87532e-08,0.6572
1.87765e-08,0.6657
1.87997e-08,0.6615
1.88230e-08,0.6565
1.88463e-08,0.6503
1.88695e-08,0.6460
1.88928e-08,0.6506
1.89161e-08,0.6628
1.89393e-08,0.6747
1.89626e-08,0.6848
1.89859e-08,0.6949
1.90091e-08,0.7011
1.90324e-08,0.6959
1.90557e-08,0.6804
1.90789e-08,0.6603
1.91022e-08,0.6379
1.91255e-08,0.6151
1.91487e-08,0.5981
1.91720e-08,0.5967
1.91953e-08,0.6143
1.92185e-08,0.6334
1.92418e-08,0.6523
1.92651e-08,0.5959
1.92883e-08,0.5105
1.93116e-08,0.4575
