.HEADER
..NAMES
Time,V U2.J3
.DATA
1.93814e-08,0.0178
1.94047e-08,0.0155
1.94279e-08,0.0117
1.94512e-08,0.0074
1.94745e-08,0.0032
1.94977e-08,0.0000
1.95210e-08,-0.0012
1.95443e-08,-0.0011
1.95675e-08,-0.0007
1.95908e-08,-0.0002
1.96141e-08,0.0002
1.96373e-08,0.0008
1.96606e-08,0.0018
1.96839e-08,0.0031
1.97071e-08,0.0041
1.97304e-08,0.0040
1.97537e-08,0.0027
1.97769e-08,0.0006
1.98002e-08,-0.0019
1.98235e-08,-0.0040
1.98468e-08,-0.0049
1.98700e-08,-0.0047
1.98933e-08,-0.0038
1.99166e-08,-0.0028
1.99398e-08,-0.0017
1.99631e-08,-0.0005
1.99864e-08,0.0010
2.00096e-08,0.0027
2.00329e-08,0.0055
2.00562e-08,0.0139
2.00794e-08,0.0410
2.01027e-08,0.0941
2.01260e-08,0.1663
2.01492e-08,0.2588
2.01725e-08,0.3695
2.01958e-08,0.4839
2.02190e-08,0.6018
2.02423e-08,0.7233
2.02656e-08,0.8360
2.02888e-08,0.9363
2.03121e-08,1.0263
2.03354e-08,1.0996
2.03586e-08,1.1492
2.03819e-08,1.1808
2.04052e-08,1.2050
2.04284e-08,1.2215
2.04517e-08,1.2338
2.04750e-08,1.2502
2.04982e-08,1.2652
2.05215e-08,1.2732
2.05448e-08,1.2812
2.05680e-08,1.2893
2.05913e-08,1.2894
2.06146e-08,1.2840
2.06378e-08,1.2769
2.06611e-08,1.2617
2.06844e-08,1.2355
2.07076e-08,1.2052
2.07309e-08,1.1745
2.07542e-08,1.1429
2.07774e-08,1.1177
2.08007e-08,1.1033
2.08240e-08,1.0937
2.08472e-08,1.0876
2.08705e-08,1.0897
2.08938e-08,1.0975
2.09170e-08,1.1066
2.09403e-08,1.1195
2.09636e-08,1.1359
2.09868e-08,1.1493
2.10101e-08,1.1579
2.10334e-08,1.1641
2.10566e-08,1.1663
2.10799e-08,1.1650
2.11032e-08,1.1660
2.11264e-08,1.1707
2.11497e-08,1.1757
2.11730e-08,1.1817
2.11962e-08,1.1907
2.12195e-08,1.2004
2.12428e-08,1.2097
2.12660e-08,1.2205
2.12893e-08,1.2314
2.13126e-08,1.2389
2.13358e-08,1.2427
2.13591e-08,1.2431
2.13824e-08,1.2387
2.14056e-08,1.2308
2.14289e-08,1.2233
2.14522e-08,1.2169
2.14754e-08,1.2105
2.14987e-08,1.2050
2.15220e-08,1.2011
2.15452e-08,1.1979
2.15685e-08,1.1960
2.15918e-08,1.1966
2.16150e-08,1.1990
2.16383e-08,1.2014
2.16616e-08,1.2036
2.16848e-08,1.2044
2.17081e-08,1.2027
2.17314e-08,1.1990
2.17546e-08,1.1953
2.17779e-08,1.1921
2.18012e-08,1.1894
2.18244e-08,1.1877
2.18477e-08,1.1869
2.18710e-08,1.1867
2.18942e-08,1.1877
2.19175e-08,1.1905
2.19408e-08,1.1945
2.19640e-08,1.1990
2.19873e-08,1.2034
2.20106e-08,1.2068
2.20338e-08,1.2083
2.20571e-08,1.2081
2.20804e-08,1.2073
2.21037e-08,1.2063
2.21269e-08,1.2052
2.21502e-08,1.2042
2.21735e-08,1.2031
2.21967e-08,1.2018
2.22200e-08,1.2007
2.22433e-08,1.2006
2.22665e-08,1.2014
2.22898e-08,1.2030
2.23131e-08,1.2050
2.23363e-08,1.2068
2.23596e-08,1.2077
2.23829e-08,1.2074
2.24061e-08,1.2064
2.24294e-08,1.2051
2.24527e-08,1.2036
2.24759e-08,1.2023
2.24992e-08,1.2009
2.25225e-08,1.1993
2.25457e-08,1.1981
2.25690e-08,1.1974
2.25923e-08,1.1976
2.26155e-08,1.1986
2.26388e-08,1.2000
2.26621e-08,1.2016
2.26853e-08,1.2026
2.27086e-08,1.2031
2.27319e-08,1.2031
2.27551e-08,1.2028
2.27784e-08,1.2026
2.28017e-08,1.2025
2.28249e-08,1.2021
2.28482e-08,1.2015
2.28715e-08,1.2007
2.28947e-08,1.2000
2.29180e-08,1.1998
2.29413e-08,1.2001
2.29645e-08,1.2009
2.29878e-08,1.2020
2.30111e-08,1.2030
2.30343e-08,1.2036
2.30576e-08,1.2039
2.30809e-08,1.2039
2.31041e-08,1.2038
2.31274e-08,1.2036
2.31507e-08,1.2032
2.31739e-08,1.2027
2.31972e-08,1.2019
2.32205e-08,1.2012
2.32437e-08,1.2007
2.32670e-08,1.2006
2.32903e-08,1.2010
2.33135e-08,1.2015
2.33368e-08,1.2020
2.33601e-08,1.2024
2.33833e-08,1.2025
2.34066e-08,1.2025
2.34299e-08,1.2025
2.34531e-08,1.2026
2.34764e-08,1.2026
2.34997e-08,1.2025
2.35229e-08,1.2021
2.35462e-08,1.2016
2.35695e-08,1.2011
2.35927e-08,1.2008
2.36160e-08,1.2009
2.36393e-08,1.2011
2.36625e-08,1.2015
2.36858e-08,1.2019
2.37091e-08,1.2022
2.37323e-08,1.2023
2.37556e-08,1.2024
2.37789e-08,1.2026
2.38021e-08,1.2026
2.38254e-08,1.2026
2.38487e-08,1.2024
2.38719e-08,1.2020
2.38952e-08,1.2016
2.39185e-08,1.2014
2.39417e-08,1.2014
2.39650e-08,1.2015
2.39883e-08,1.2017
2.40115e-08,1.2019
2.40348e-08,1.2020
2.40581e-08,1.2020
2.40813e-08,1.2021
2.41046e-08,1.2021
2.41279e-08,1.2023
2.41511e-08,1.2024
2.41744e-08,1.2024
2.41977e-08,1.2022
2.42209e-08,1.2019
2.42442e-08,1.2017
2.42675e-08,1.2015
2.42907e-08,1.2015
2.43140e-08,1.2015
2.43373e-08,1.2016
2.43605e-08,1.2017
2.43838e-08,1.2014
2.44071e-08,1.1934
2.44303e-08,1.1738
2.44536e-08,1.1228
