.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
2.25690e-08,1.1937
2.25923e-08,1.1947
2.26155e-08,1.1961
2.26388e-08,1.1991
2.26621e-08,1.2056
2.26853e-08,1.2151
2.27086e-08,1.2238
2.27319e-08,1.2269
2.27551e-08,1.2241
2.27784e-08,1.2188
2.28017e-08,1.2133
2.28249e-08,1.2057
2.28482e-08,1.1899
2.28715e-08,1.1569
2.28947e-08,1.0936
2.29180e-08,1.0039
2.29413e-08,0.9073
2.29645e-08,0.8251
2.29878e-08,0.7651
2.30111e-08,0.7183
2.30343e-08,0.6735
2.30576e-08,0.6293
2.30809e-08,0.5950
2.31041e-08,0.5738
2.31274e-08,0.5632
2.31507e-08,0.5571
2.31739e-08,0.5515
2.31972e-08,0.5450
2.32205e-08,0.5393
2.32437e-08,0.5346
2.32670e-08,0.5291
2.32903e-08,0.5223
2.33135e-08,0.5146
2.33368e-08,0.5078
2.33601e-08,0.5030
2.33833e-08,0.4991
2.34066e-08,0.4956
2.34299e-08,0.4946
2.34531e-08,0.4997
2.34764e-08,0.5136
2.34997e-08,0.5440
2.35229e-08,0.6072
2.35462e-08,0.7051
2.35695e-08,0.8189
2.35927e-08,0.9211
2.36160e-08,0.9984
2.36393e-08,1.0567
2.36625e-08,1.1082
2.36858e-08,1.1545
2.37091e-08,1.1867
2.37323e-08,1.2012
2.37556e-08,1.2019
2.37789e-08,1.1973
2.38021e-08,1.1941
2.38254e-08,1.1940
2.38487e-08,1.1952
2.38719e-08,1.1967
2.38952e-08,1.2004
2.39185e-08,1.2079
2.39417e-08,1.2178
2.39650e-08,1.2254
2.39883e-08,1.2267
2.40115e-08,1.2227
2.40348e-08,1.2173
2.40581e-08,1.2116
2.40813e-08,1.2026
2.41046e-08,1.1833
2.41279e-08,1.1433
2.41511e-08,1.0721
2.41744e-08,0.9787
2.41977e-08,0.8839
2.42209e-08,0.8071
2.42442e-08,0.7509
2.42675e-08,0.7056
2.42907e-08,0.6605
2.43140e-08,0.6185
2.43373e-08,0.5874
2.43605e-08,0.5691
2.43838e-08,0.5602
2.44071e-08,0.5546
2.44303e-08,0.5491
2.44536e-08,0.5430
2.44769e-08,0.5378
2.45002e-08,0.5330
2.45234e-08,0.5273
2.45467e-08,0.5202
2.45700e-08,0.5128
2.45932e-08,0.5065
2.46165e-08,0.5020
2.46398e-08,0.4981
2.46630e-08,0.4949
2.46863e-08,0.4953
2.47096e-08,0.5024
2.47328e-08,0.5196
2.47561e-08,0.5580
2.47794e-08,0.6330
