.HEADER
..NAMES
Time,V U2.P2
.DATA
2.27551e-08,1.0797
2.27784e-08,1.0617
2.28017e-08,1.0526
2.28249e-08,1.0568
2.28482e-08,1.0750
2.28715e-08,1.1023
2.28947e-08,1.1297
2.29180e-08,1.1496
2.29413e-08,1.1603
2.29645e-08,1.1653
2.29878e-08,1.1685
2.30111e-08,1.1713
2.30343e-08,1.1726
2.30576e-08,1.1711
2.30809e-08,1.1685
2.31041e-08,1.1698
2.31274e-08,1.1778
2.31507e-08,1.1904
2.31739e-08,1.2046
2.31972e-08,1.2207
2.32205e-08,1.2373
2.32437e-08,1.2500
2.32670e-08,1.2563
2.32903e-08,1.2587
2.33135e-08,1.2590
2.33368e-08,1.2558
2.33601e-08,1.2463
2.33833e-08,1.2308
2.34066e-08,1.2126
2.34299e-08,1.1972
2.34531e-08,1.1880
2.34764e-08,1.1853
2.34997e-08,1.1873
2.35229e-08,1.1917
2.35462e-08,1.1967
2.35695e-08,1.2017
2.35927e-08,1.2059
2.36160e-08,1.2083
2.36393e-08,1.2081
2.36625e-08,1.2048
2.36858e-08,1.1903
2.37091e-08,1.1496
2.37323e-08,1.0630
2.37556e-08,0.9338
2.37789e-08,0.8080
2.38021e-08,0.6907
2.38254e-08,0.5497
2.38487e-08,0.3876
2.38719e-08,0.2451
2.38952e-08,0.1311
2.39185e-08,0.0397
2.39417e-08,-0.0250
2.39650e-08,-0.0646
2.39883e-08,-0.0860
2.40115e-08,-0.1000
2.40348e-08,-0.1157
2.40581e-08,-0.1368
2.40813e-08,-0.1579
2.41046e-08,-0.1723
2.41279e-08,-0.1794
2.41511e-08,-0.1837
2.41744e-08,-0.1899
2.41977e-08,-0.1970
2.42209e-08,-0.1963
2.42442e-08,-0.1763
2.42675e-08,-0.1370
2.42907e-08,-0.0933
2.43140e-08,-0.0545
2.43373e-08,-0.0133
2.43605e-08,0.0325
2.43838e-08,0.0724
2.44071e-08,0.1011
2.44303e-08,0.1217
