.HEADER
..NAMES
Time,V U2.C2
.DATA
2.29645e-08,-0.0030
2.29878e-08,0.0001
2.30111e-08,0.0037
2.30343e-08,0.0070
2.30576e-08,0.0128
2.30809e-08,0.0340
2.31041e-08,0.0940
2.31274e-08,0.2006
2.31507e-08,0.3013
2.31739e-08,0.3827
2.31972e-08,0.4880
2.32205e-08,0.6060
2.32437e-08,0.7143
2.32670e-08,0.8288
2.32903e-08,0.9438
2.33135e-08,1.0391
2.33368e-08,1.1118
2.33601e-08,1.1649
2.33833e-08,1.2000
2.34066e-08,1.2263
2.34299e-08,1.2524
2.34531e-08,1.2714
2.34764e-08,1.2637
2.34997e-08,1.2174
2.35229e-08,1.1267
2.35462e-08,1.0327
2.35695e-08,0.9603
2.35927e-08,0.8569
2.36160e-08,0.7145
2.36393e-08,0.5741
2.36625e-08,0.4247
2.36858e-08,0.2628
2.37091e-08,0.1241
2.37323e-08,0.0178
2.37556e-08,-0.0699
2.37789e-08,-0.1384
2.38021e-08,-0.1902
2.38254e-08,-0.2328
2.38487e-08,-0.2602
2.38719e-08,-0.2632
2.38952e-08,-0.2518
2.39185e-08,-0.2478
2.39417e-08,-0.2563
2.39650e-08,-0.2640
2.39883e-08,-0.2574
2.40115e-08,-0.2350
2.40348e-08,-0.2075
2.40581e-08,-0.1780
2.40813e-08,-0.1417
2.41046e-08,-0.1080
2.41279e-08,-0.0799
2.41511e-08,-0.0423
2.41744e-08,0.0069
2.41977e-08,0.0555
2.42209e-08,0.0972
2.42442e-08,0.1254
2.42675e-08,0.1360
2.42907e-08,0.1386
2.43140e-08,0.1422
2.43373e-08,0.1420
