.HEADER
..NAMES
Time,V U2.R3
.DATA
1.73804e-08,-0.0318
1.74037e-08,-0.0495
1.74270e-08,-0.0602
1.74502e-08,-0.0627
1.74735e-08,-0.0580
1.74968e-08,-0.0494
1.75201e-08,-0.0402
1.75433e-08,-0.0315
1.75666e-08,-0.0219
1.75899e-08,-0.0103
1.76131e-08,0.0004
1.76364e-08,0.0056
1.76597e-08,0.0038
1.76829e-08,-0.0023
1.77062e-08,-0.0088
1.77295e-08,-0.0129
1.77527e-08,-0.0137
1.77760e-08,-0.0115
1.77993e-08,-0.0070
1.78225e-08,-0.0013
1.78458e-08,0.0042
1.78691e-08,0.0092
1.78923e-08,0.0147
1.79156e-08,0.0211
1.79389e-08,0.0272
1.79621e-08,0.0308
1.79854e-08,0.0297
1.80087e-08,0.0237
1.80319e-08,0.0152
1.80552e-08,0.0073
1.80785e-08,0.0016
1.81017e-08,-0.0025
1.81250e-08,-0.0059
1.81483e-08,-0.0083
1.81715e-08,-0.0088
1.81948e-08,-0.0070
1.82181e-08,-0.0032
1.82413e-08,0.0015
1.82646e-08,0.0058
1.82879e-08,0.0083
1.83111e-08,0.0078
1.83344e-08,0.0046
1.83577e-08,0.0000
1.83809e-08,-0.0041
1.84042e-08,-0.0066
1.84275e-08,-0.0077
1.84507e-08,-0.0085
1.84740e-08,-0.0096
1.84973e-08,-0.0104
1.85205e-08,-0.0095
1.85438e-08,-0.0064
1.85671e-08,-0.0017
1.85903e-08,0.0030
1.86136e-08,0.0065
1.86369e-08,0.0083
1.86601e-08,0.0085
1.86834e-08,0.0080
1.87067e-08,0.0125
1.87299e-08,0.0385
1.87532e-08,0.1131
1.87765e-08,0.2292
1.87997e-08,0.3471
1.88230e-08,0.4614
1.88463e-08,0.5956
1.88695e-08,0.7441
1.88928e-08,0.8840
1.89161e-08,1.0081
1.89393e-08,1.1112
1.89626e-08,1.1856
1.89859e-08,1.2320
1.90091e-08,1.2575
1.90324e-08,1.2706
1.90557e-08,1.2780
1.90789e-08,1.2855
1.91022e-08,1.2981
1.91255e-08,1.3125
1.91487e-08,1.3202
1.91720e-08,1.3202
1.91953e-08,1.3199
1.92185e-08,1.3260
1.92418e-08,1.3345
1.92651e-08,1.3303
1.92883e-08,1.3043
1.93116e-08,1.2649
1.93349e-08,1.2233
1.93581e-08,1.1806
1.93814e-08,1.1387
1.94047e-08,1.1037
