.HEADER
..NAMES
Time,V U2.A3
.DATA
2.34997e-08,1.4234
2.35229e-08,1.4080
2.35462e-08,1.3873
2.35695e-08,1.3769
2.35927e-08,1.3701
2.36160e-08,1.3473
2.36393e-08,1.3144
2.36625e-08,1.2944
2.36858e-08,1.2866
2.37091e-08,1.2712
2.37323e-08,1.2419
2.37556e-08,1.2064
2.37789e-08,1.1735
2.38021e-08,1.1485
2.38254e-08,1.1271
2.38487e-08,1.1001
2.38719e-08,1.0650
2.38952e-08,1.0226
2.39185e-08,0.9729
2.39417e-08,0.9011
2.39650e-08,0.8134
2.39883e-08,0.7375
2.40115e-08,0.6739
2.40348e-08,0.5845
2.40581e-08,0.4689
2.40813e-08,0.3490
2.41046e-08,0.2415
2.41279e-08,0.1535
2.41511e-08,0.0799
2.41744e-08,0.0081
2.41977e-08,-0.0580
2.42209e-08,-0.1040
2.42442e-08,-0.1225
2.42675e-08,-0.1204
2.42907e-08,-0.1152
2.43140e-08,-0.1193
2.43373e-08,-0.1282
2.43605e-08,-0.1314
2.43838e-08,-0.1282
2.44071e-08,-0.1251
2.44303e-08,-0.1238
