.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
1.52632e-08,0.6808
1.52864e-08,0.6923
1.53097e-08,0.6971
1.53330e-08,0.6873
1.53562e-08,0.6572
1.53795e-08,0.5839
1.54028e-08,0.4441
1.54260e-08,0.2537
1.54493e-08,0.0570
1.54726e-08,-0.1026
1.54958e-08,-0.2239
1.55191e-08,-0.3312
1.55424e-08,-0.4454
1.55656e-08,-0.5540
1.55889e-08,-0.6325
1.56122e-08,-0.6697
1.56354e-08,-0.6755
1.56587e-08,-0.6736
1.56820e-08,-0.6797
1.57052e-08,-0.6911
1.57285e-08,-0.6955
1.57518e-08,-0.6846
1.57750e-08,-0.6518
1.57983e-08,-0.5722
1.58216e-08,-0.4261
1.58448e-08,-0.2328
1.58681e-08,-0.0381
1.58914e-08,0.1176
1.59146e-08,0.2370
1.59379e-08,0.3452
1.59612e-08,0.4601
1.59844e-08,0.5656
1.60077e-08,0.6386
1.60310e-08,0.6708
1.60542e-08,0.6753
1.60775e-08,0.6751
1.61008e-08,0.6831
1.61240e-08,0.6942
1.61473e-08,0.6965
1.61706e-08,0.6833
1.61938e-08,0.6473
1.62171e-08,0.5615
1.62404e-08,0.4093
1.62636e-08,0.2137
1.62869e-08,0.0220
1.63102e-08,-0.1288
1.63334e-08,-0.2452
1.63567e-08,-0.3531
1.63800e-08,-0.4681
1.64032e-08,-0.5724
1.64265e-08,-0.6430
1.64498e-08,-0.6726
1.64730e-08,-0.6750
1.64963e-08,-0.6741
1.65196e-08,-0.6819
1.65428e-08,-0.6929
1.65661e-08,-0.6947
1.65894e-08,-0.6803
1.66126e-08,-0.6409
1.66359e-08,-0.5484
1.66592e-08,-0.3904
1.66824e-08,-0.1928
1.67057e-08,-0.0039
1.67290e-08,0.1433
1.67522e-08,0.2583
1.67755e-08,0.3674
1.67988e-08,0.4825
1.68220e-08,0.5831
1.68453e-08,0.6480
1.68686e-08,0.6731
1.68918e-08,0.6750
1.69151e-08,0.6760
1.69384e-08,0.6855
1.69616e-08,0.6956
1.69849e-08,0.6952
1.70082e-08,0.6784
1.70314e-08,0.6353
1.70547e-08,0.5364
1.70780e-08,0.3729
1.71012e-08,0.1740
1.71245e-08,-0.0112
1.71478e-08,-0.1537
1.71710e-08,-0.2662
1.71943e-08,-0.3754
1.72176e-08,-0.4904
1.72408e-08,-0.5894
1.72641e-08,-0.6519
1.72874e-08,-0.6744
1.73106e-08,-0.6745
1.73339e-08,-0.6749
1.73572e-08,-0.6843
1.73804e-08,-0.6943
1.74037e-08,-0.6932
1.74270e-08,-0.6750
1.74502e-08,-0.6278
1.74735e-08,-0.5220
1.74968e-08,-0.3532
1.75201e-08,-0.1534
1.75433e-08,0.0285
1.75666e-08,0.1676
1.75899e-08,0.2793
1.76131e-08,0.3899
1.76364e-08,0.5043
1.76597e-08,0.5990
1.76829e-08,0.6558
1.77062e-08,0.6745
1.77295e-08,0.6747
1.77527e-08,0.6773
1.77760e-08,0.6878
1.77993e-08,0.6966
1.78225e-08,0.6933
1.78458e-08,0.6727
1.78691e-08,0.6211
1.78923e-08,0.5087
1.79156e-08,0.3351
1.79389e-08,0.1350
1.79621e-08,-0.0425
1.79854e-08,-0.1772
1.80087e-08,-0.2871
1.80319e-08,-0.3980
1.80552e-08,-0.5119
1.80785e-08,-0.6049
1.81017e-08,-0.6591
1.81250e-08,-0.6753
1.81483e-08,-0.6741
1.81715e-08,-0.6762
1.81948e-08,-0.6867
1.82181e-08,-0.6952
1.82413e-08,-0.6911
1.82646e-08,-0.6688
1.82879e-08,-0.6123
1.83111e-08,-0.4931
1.83344e-08,-0.3149
1.83577e-08,-0.1148
1.83809e-08,0.0589
1.84042e-08,0.1907
1.84275e-08,0.3003
1.84507e-08,0.4126
1.84740e-08,0.5252
1.84973e-08,0.6133
1.85205e-08,0.6620
1.85438e-08,0.6752
1.85671e-08,0.6746
1.85903e-08,0.6789
1.86136e-08,0.6902
1.86369e-08,0.6971
1.86601e-08,0.6907
1.86834e-08,0.6659
1.87067e-08,0.6044
1.87299e-08,0.4786
1.87532e-08,0.2963
1.87765e-08,0.0970
1.87997e-08,-0.0719
1.88230e-08,-0.1998
1.88463e-08,-0.3081
1.88695e-08,-0.4207
1.88928e-08,-0.5325
1.89161e-08,-0.6188
1.89393e-08,-0.6647
1.89626e-08,-0.6756
1.89859e-08,-0.6738
1.90091e-08,-0.6778
1.90324e-08,-0.6890
1.90557e-08,-0.6956
1.90789e-08,-0.6883
1.91022e-08,-0.6614
1.91255e-08,-0.5942
1.91487e-08,-0.4618
1.91720e-08,-0.2756
1.91953e-08,-0.0774
1.92185e-08,0.0876
1.92418e-08,0.2130
1.92651e-08,0.3216
1.92883e-08,0.4354
1.93116e-08,0.5451
1.93349e-08,0.6261
1.93581e-08,0.6667
1.93814e-08,0.6753
1.94047e-08,0.6748
1.94279e-08,0.6809
1.94512e-08,0.6923
1.94745e-08,0.6971
1.94977e-08,0.6875
1.95210e-08,0.6577
1.95443e-08,0.5850
1.95675e-08,0.4462
1.95908e-08,0.2568
1.96141e-08,0.0603
1.96373e-08,-0.0997
1.96606e-08,-0.2217
1.96839e-08,-0.3294
1.97071e-08,-0.4435
1.97304e-08,-0.5521
1.97537e-08,-0.6311
1.97769e-08,-0.6690
1.98002e-08,-0.6754
1.98235e-08,-0.6738
1.98468e-08,-0.6797
1.98700e-08,-0.6910
1.98933e-08,-0.6954
1.99166e-08,-0.6848
1.99398e-08,-0.6524
1.99631e-08,-0.5734
1.99864e-08,-0.4284
2.00096e-08,-0.2359
2.00329e-08,-0.0414
2.00562e-08,0.1148
2.00794e-08,0.2349
2.01027e-08,0.3433
2.01260e-08,0.4581
2.01492e-08,0.5638
2.01725e-08,0.6373
2.01958e-08,0.6703
