.HEADER
..NAMES
Time,V U2.C8
.DATA
2.33833e-08,0.8733
2.34066e-08,0.9838
2.34299e-08,1.0742
2.34531e-08,1.1402
2.34764e-08,1.1844
2.34997e-08,1.2174
2.35229e-08,1.2491
2.35462e-08,1.2826
2.35695e-08,1.3078
2.35927e-08,1.3157
2.36160e-08,1.3145
2.36393e-08,1.3209
2.36625e-08,1.3378
2.36858e-08,1.3483
2.37091e-08,1.3394
2.37323e-08,1.3133
2.37556e-08,1.2746
2.37789e-08,1.2236
2.38021e-08,1.1581
2.38254e-08,1.0564
2.38487e-08,0.9182
2.38719e-08,0.7897
2.38952e-08,0.6741
2.39185e-08,0.5478
2.39417e-08,0.4198
2.39650e-08,0.3014
2.39883e-08,0.1883
2.40115e-08,0.0852
2.40348e-08,-0.0062
2.40581e-08,-0.0774
2.40813e-08,-0.1204
2.41046e-08,-0.1414
2.41279e-08,-0.1535
2.41511e-08,-0.1695
2.41744e-08,-0.1879
2.41977e-08,-0.1988
2.42209e-08,-0.1988
2.42442e-08,-0.1967
2.42675e-08,-0.1979
2.42907e-08,-0.1902
2.43140e-08,-0.1649
2.43373e-08,-0.1310
