.HEADER
..NAMES
Time,V U2.D3
.DATA
1.87765e-08,1.3383
1.87997e-08,1.3226
1.88230e-08,1.2982
1.88463e-08,1.2700
1.88695e-08,1.2457
1.88928e-08,1.2201
1.89161e-08,1.1853
1.89393e-08,1.1483
1.89626e-08,1.1223
1.89859e-08,1.1106
1.90091e-08,1.1069
1.90324e-08,1.1064
1.90557e-08,1.1110
1.90789e-08,1.1226
1.91022e-08,1.1381
1.91255e-08,1.1525
1.91487e-08,1.1644
1.91720e-08,1.1727
1.91953e-08,1.1737
1.92185e-08,1.1664
1.92418e-08,1.1563
1.92651e-08,1.1492
1.92883e-08,1.1475
1.93116e-08,1.1519
1.93349e-08,1.1605
1.93581e-08,1.1692
1.93814e-08,1.1770
1.94047e-08,1.1847
1.94279e-08,1.1811
1.94512e-08,1.1489
1.94745e-08,1.0687
1.94977e-08,0.9666
1.95210e-08,0.8810
1.95443e-08,0.7919
1.95675e-08,0.6630
1.95908e-08,0.5210
1.96141e-08,0.3927
1.96373e-08,0.2688
1.96606e-08,0.1447
1.96839e-08,0.0409
1.97071e-08,-0.0259
1.97304e-08,-0.0622
1.97537e-08,-0.0866
1.97769e-08,-0.1078
1.98002e-08,-0.1212
1.98235e-08,-0.1250
1.98468e-08,-0.1276
1.98700e-08,-0.1394
1.98933e-08,-0.1620
1.99166e-08,-0.1901
1.99398e-08,-0.2172
1.99631e-08,-0.2335
1.99864e-08,-0.2333
2.00096e-08,-0.2224
2.00329e-08,-0.2042
2.00562e-08,-0.1676
2.00794e-08,-0.0951
2.01027e-08,0.0313
2.01260e-08,0.1831
2.01492e-08,0.3162
2.01725e-08,0.4481
2.01958e-08,0.6082
2.02190e-08,0.7638
2.02423e-08,0.8899
2.02656e-08,1.0023
2.02888e-08,1.1086
2.03121e-08,1.1877
2.03354e-08,1.2262
2.03586e-08,1.2390
2.03819e-08,1.2503
2.04052e-08,1.2688
2.04284e-08,1.2875
2.04517e-08,1.3005
2.04750e-08,1.3119
2.04982e-08,1.3282
2.05215e-08,1.3486
2.05448e-08,1.3682
2.05680e-08,1.3835
2.05913e-08,1.3863
2.06146e-08,1.3697
2.06378e-08,1.3403
2.06611e-08,1.3042
2.06844e-08,1.2589
2.07076e-08,1.2106
2.07309e-08,1.1718
2.07542e-08,1.1402
2.07774e-08,1.1054
2.08007e-08,1.0724
2.08240e-08,1.0561
2.08472e-08,1.0608
2.08705e-08,1.0774
2.08938e-08,1.0967
2.09170e-08,1.1173
2.09403e-08,1.1385
2.09636e-08,1.1560
2.09868e-08,1.1653
2.10101e-08,1.1678
2.10334e-08,1.1669
2.10566e-08,1.1614
2.10799e-08,1.1495
2.11032e-08,1.1363
2.11264e-08,1.1292
2.11497e-08,1.1315
2.11730e-08,1.1432
2.11962e-08,1.1619
2.12195e-08,1.1821
2.12428e-08,1.2002
2.12660e-08,1.2179
2.12893e-08,1.2370
2.13126e-08,1.2540
2.13358e-08,1.2645
2.13591e-08,1.2677
2.13824e-08,1.2642
2.14056e-08,1.2537
2.14289e-08,1.2371
2.14522e-08,1.2190
2.14754e-08,1.2045
2.14987e-08,1.1947
2.15220e-08,1.1877
2.15452e-08,1.1835
2.15685e-08,1.1851
2.15918e-08,1.1934
2.16150e-08,1.2056
2.16383e-08,1.2175
2.16616e-08,1.2262
2.16848e-08,1.2297
2.17081e-08,1.2273
2.17314e-08,1.2204
2.17546e-08,1.2113
2.17779e-08,1.2014
2.18012e-08,1.1914
2.18244e-08,1.1819
2.18477e-08,1.1736
2.18710e-08,1.1672
2.18942e-08,1.1642
2.19175e-08,1.1575
2.19408e-08,1.1323
2.19640e-08,1.0680
2.19873e-08,0.9680
2.20106e-08,0.8793
2.20338e-08,0.8065
2.20571e-08,0.6999
2.20804e-08,0.5660
2.21037e-08,0.4401
2.21269e-08,0.3208
2.21502e-08,0.1970
2.21735e-08,0.0839
2.21967e-08,0.0021
2.22200e-08,-0.0475
2.22433e-08,-0.0810
2.22665e-08,-0.1101
2.22898e-08,-0.1317
2.23131e-08,-0.1395
2.23363e-08,-0.1379
2.23596e-08,-0.1396
2.23829e-08,-0.1513
2.24061e-08,-0.1709
2.24294e-08,-0.1934
2.24527e-08,-0.2112
2.24759e-08,-0.2145
2.24992e-08,-0.2061
2.25225e-08,-0.1941
2.25457e-08,-0.1726
2.25690e-08,-0.1249
2.25923e-08,-0.0295
2.26155e-08,0.1149
2.26388e-08,0.2573
2.26621e-08,0.3804
2.26853e-08,0.5256
2.27086e-08,0.6895
2.27319e-08,0.8291
2.27551e-08,0.9466
2.27784e-08,1.0609
2.28017e-08,1.1600
2.28249e-08,1.2204
2.28482e-08,1.2430
2.28715e-08,1.2515
2.28947e-08,1.2644
2.29180e-08,1.2812
2.29413e-08,1.2941
2.29645e-08,1.3022
2.29878e-08,1.3125
2.30111e-08,1.3292
2.30343e-08,1.3490
2.30576e-08,1.3682
2.30809e-08,1.3811
2.31041e-08,1.3769
2.31274e-08,1.3550
2.31507e-08,1.3230
2.31739e-08,1.2708
2.31972e-08,1.1833
2.32205e-08,1.0515
2.32437e-08,0.9047
2.32670e-08,0.7787
2.32903e-08,0.6541
2.33135e-08,0.5039
2.33368e-08,0.3618
2.33601e-08,0.2513
2.33833e-08,0.1538
