.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
2.37556e-08,0.5596
2.37789e-08,0.5559
2.38021e-08,0.5510
2.38254e-08,0.5427
2.38487e-08,0.5342
2.38719e-08,0.5286
2.38952e-08,0.5251
2.39185e-08,0.5205
2.39417e-08,0.5134
2.39650e-08,0.5062
2.39883e-08,0.5012
2.40115e-08,0.4979
2.40348e-08,0.4955
2.40581e-08,0.4956
2.40813e-08,0.5012
2.41046e-08,0.5160
2.41279e-08,0.5502
2.41511e-08,0.6197
2.41744e-08,0.7212
2.41977e-08,0.8329
2.42209e-08,0.9291
2.42442e-08,1.0010
2.42675e-08,1.0567
2.42907e-08,1.1065
2.43140e-08,1.1517
2.43373e-08,1.1852
2.43605e-08,1.2022
2.43838e-08,1.2033
2.44071e-08,1.1963
2.44303e-08,1.1911
2.44536e-08,1.1920
2.44769e-08,1.1965
2.45002e-08,1.2008
2.45234e-08,1.2042
2.45467e-08,1.2095
2.45700e-08,1.2174
2.45932e-08,1.2240
2.46165e-08,1.2253
2.46398e-08,1.2217
2.46630e-08,1.2155
2.46863e-08,1.2081
2.47096e-08,1.1977
2.47328e-08,1.1775
2.47561e-08,1.1339
2.47794e-08,1.0570
