.HEADER
..NAMES
Time,V U2.J7
.DATA
2.14987e-08,-0.0248
2.15220e-08,-0.0133
2.15452e-08,-0.0039
2.15685e-08,0.0014
2.15918e-08,0.0028
2.16150e-08,0.0018
2.16383e-08,0.0003
2.16616e-08,-0.0011
2.16848e-08,-0.0022
2.17081e-08,-0.0031
2.17314e-08,-0.0041
2.17546e-08,-0.0050
2.17779e-08,-0.0048
2.18012e-08,-0.0024
2.18244e-08,0.0022
2.18477e-08,0.0082
2.18710e-08,0.0142
2.18942e-08,0.0187
2.19175e-08,0.0208
2.19408e-08,0.0210
2.19640e-08,0.0200
2.19873e-08,0.0186
2.20106e-08,0.0164
2.20338e-08,0.0129
2.20571e-08,0.0081
2.20804e-08,0.0028
2.21037e-08,-0.0018
2.21269e-08,-0.0045
2.21502e-08,-0.0050
2.21735e-08,-0.0034
2.21967e-08,-0.0009
2.22200e-08,0.0013
2.22433e-08,0.0028
2.22665e-08,0.0034
2.22898e-08,0.0038
2.23131e-08,0.0042
2.23363e-08,0.0046
2.23596e-08,0.0045
2.23829e-08,0.0034
2.24061e-08,0.0010
2.24294e-08,-0.0018
2.24527e-08,-0.0042
2.24759e-08,-0.0054
2.24992e-08,-0.0053
2.25225e-08,-0.0042
2.25457e-08,-0.0010
2.25690e-08,0.0097
2.25923e-08,0.0419
2.26155e-08,0.1021
2.26388e-08,0.1793
2.26621e-08,0.2749
2.26853e-08,0.3770
2.27086e-08,0.4836
2.27319e-08,0.5996
2.27551e-08,0.7135
2.27784e-08,0.8272
2.28017e-08,0.9319
2.28249e-08,1.0207
2.28482e-08,1.0918
2.28715e-08,1.1455
2.28947e-08,1.1820
2.29180e-08,1.2066
2.29413e-08,1.2250
2.29645e-08,1.2421
2.29878e-08,1.2590
2.30111e-08,1.2719
2.30343e-08,1.2798
2.30576e-08,1.2853
2.30809e-08,1.2917
2.31041e-08,1.2980
2.31274e-08,1.3017
2.31507e-08,1.2991
2.31739e-08,1.2874
2.31972e-08,1.2676
2.32205e-08,1.2419
2.32437e-08,1.2147
2.32670e-08,1.1876
2.32903e-08,1.1618
2.33135e-08,1.1389
