.HEADER
..NAMES
Time,V U2.B8
.DATA
7.9764e-09,0.0308
7.9861e-09,0.0298
7.9957e-09,0.0273
8.0054e-09,0.0245
8.0150e-09,0.0227
8.0246e-09,0.0227
8.0343e-09,0.0248
8.0439e-09,0.0286
8.0536e-09,0.0332
8.0632e-09,0.0377
8.0729e-09,0.0410
8.0825e-09,0.0423
8.0922e-09,0.0415
8.1018e-09,0.0389
8.1114e-09,0.0354
8.1211e-09,0.0317
8.1307e-09,0.0286
8.1404e-09,0.0262
8.1500e-09,0.0242
8.1597e-09,0.0220
8.1693e-09,0.0191
8.1790e-09,0.0154
8.1886e-09,0.0111
8.1983e-09,0.0067
8.2079e-09,0.0029
8.2175e-09,0.0003
8.2272e-09,-0.0007
8.2368e-09,-0.0000
8.2465e-09,0.0019
8.2561e-09,0.0045
8.2658e-09,0.0071
8.2754e-09,0.0089
8.2851e-09,0.0097
8.2947e-09,0.0090
8.3043e-09,0.0071
8.3140e-09,0.0042
8.3236e-09,0.0008
8.3333e-09,-0.0026
8.3429e-09,-0.0054
8.3526e-09,-0.0070
8.3622e-09,-0.0072
8.3719e-09,-0.0060
8.3815e-09,-0.0037
8.3911e-09,-0.0012
8.4008e-09,0.0007
8.4104e-09,0.0014
8.4201e-09,0.0008
8.4297e-09,-0.0008
8.4394e-09,-0.0029
8.4490e-09,-0.0046
8.4587e-09,-0.0055
8.4683e-09,-0.0055
8.4780e-09,-0.0046
8.4876e-09,-0.0035
8.4972e-09,-0.0024
8.5069e-09,-0.0019
8.5165e-09,-0.0020
8.5262e-09,-0.0025
8.5358e-09,-0.0034
8.5455e-09,-0.0043
8.5551e-09,-0.0047
8.5648e-09,-0.0047
8.5744e-09,-0.0042
8.5840e-09,-0.0036
8.5937e-09,-0.0032
8.6033e-09,-0.0034
8.6130e-09,-0.0044
8.6226e-09,-0.0062
8.6323e-09,-0.0084
8.6419e-09,-0.0106
8.6516e-09,-0.0124
8.6612e-09,-0.0134
8.6709e-09,-0.0134
8.6805e-09,-0.0124
8.6901e-09,-0.0107
8.6998e-09,-0.0084
8.7094e-09,-0.0060
8.7191e-09,-0.0038
8.7287e-09,-0.0022
8.7384e-09,-0.0014
8.7480e-09,-0.0014
8.7577e-09,-0.0021
8.7673e-09,-0.0031
8.7769e-09,-0.0041
8.7866e-09,-0.0046
8.7962e-09,-0.0046
8.8059e-09,-0.0038
8.8155e-09,-0.0026
8.8252e-09,-0.0013
8.8348e-09,-0.0001
8.8445e-09,0.0006
8.8541e-09,0.0007
8.8638e-09,0.0004
8.8734e-09,-0.0001
8.8830e-09,-0.0004
8.8927e-09,-0.0004
8.9023e-09,-0.0004
8.9120e-09,-0.0023
8.9216e-09,0.0004
8.9313e-09,0.0144
8.9409e-09,0.0353
8.9506e-09,0.0601
8.9602e-09,0.0928
8.9698e-09,0.1320
8.9795e-09,0.1794
8.9891e-09,0.2401
8.9988e-09,0.3066
9.0084e-09,0.3700
9.0181e-09,0.4278
9.0277e-09,0.4783
9.0374e-09,0.5195
9.0470e-09,0.5529
9.0567e-09,0.5801
9.0663e-09,0.5990
9.0759e-09,0.6107
9.0856e-09,0.6184
9.0952e-09,0.6224
9.1049e-09,0.6235
9.1145e-09,0.6236
9.1242e-09,0.6234
9.1338e-09,0.6231
9.1435e-09,0.6238
9.1531e-09,0.6255
9.1627e-09,0.6270
9.1724e-09,0.6283
9.1820e-09,0.6297
9.1917e-09,0.6300
9.2013e-09,0.6290
9.2110e-09,0.6281
9.2206e-09,0.6267
9.2303e-09,0.6243
9.2399e-09,0.6221
9.2496e-09,0.6215
9.2592e-09,0.6228
9.2688e-09,0.6261
9.2785e-09,0.6319
9.2881e-09,0.6403
9.2978e-09,0.6506
9.3074e-09,0.6616
9.3171e-09,0.6698
9.3267e-09,0.6719
9.3364e-09,0.6674
