.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
2.18012e-08,-0.6713
2.18244e-08,-0.6717
2.18477e-08,-0.6528
2.18710e-08,-0.6204
2.18942e-08,-0.5845
2.19175e-08,-0.5570
2.19408e-08,-0.5407
2.19640e-08,-0.5273
2.19873e-08,-0.5177
2.20106e-08,-0.5201
2.20338e-08,-0.5131
2.20571e-08,-0.4574
2.20804e-08,-0.2197
2.21037e-08,0.0717
2.21269e-08,0.2836
2.21502e-08,0.4107
2.21735e-08,0.4961
2.21967e-08,0.5471
2.22200e-08,0.5656
2.22433e-08,0.5526
2.22665e-08,0.5423
2.22898e-08,0.5544
2.23131e-08,0.5810
2.23363e-08,0.6112
2.23596e-08,0.6341
2.23829e-08,0.6466
2.24061e-08,0.6589
2.24294e-08,0.6729
2.24527e-08,0.6715
2.24759e-08,0.6498
2.24992e-08,0.6152
2.25225e-08,0.5792
2.25457e-08,0.5541
2.25690e-08,0.5398
2.25923e-08,0.5266
2.26155e-08,0.5168
2.26388e-08,0.5202
2.26621e-08,0.5066
2.26853e-08,0.4392
2.27086e-08,0.1662
2.27319e-08,-0.1212
2.27551e-08,-0.2995
2.27784e-08,-0.4267
2.28017e-08,-0.5044
2.28249e-08,-0.5490
2.28482e-08,-0.5634
2.28715e-08,-0.5500
2.28947e-08,-0.5443
2.29180e-08,-0.5591
2.29413e-08,-0.5851
2.29645e-08,-0.6138
2.29878e-08,-0.6360
2.30111e-08,-0.6492
2.30343e-08,-0.6625
2.30576e-08,-0.6736
2.30809e-08,-0.6676
2.31041e-08,-0.6440
2.31274e-08,-0.6100
2.31507e-08,-0.5758
2.31739e-08,-0.5522
2.31972e-08,-0.5373
2.32205e-08,-0.5238
2.32437e-08,-0.5169
2.32670e-08,-0.5231
2.32903e-08,-0.5057
2.33135e-08,-0.4248
2.33368e-08,-0.1318
2.33601e-08,0.1432
2.33833e-08,0.3243
2.34066e-08,0.4416
2.34299e-08,0.5136
2.34531e-08,0.5569
2.34764e-08,0.5655
2.34997e-08,0.5489
2.35229e-08,0.5435
2.35462e-08,0.5603
2.35695e-08,0.5894
2.35927e-08,0.6188
2.36160e-08,0.6386
2.36393e-08,0.6495
2.36625e-08,0.6630
2.36858e-08,0.6746
2.37091e-08,0.6677
2.37323e-08,0.6415
2.37556e-08,0.6048
2.37789e-08,0.5705
2.38021e-08,0.5491
2.38254e-08,0.5361
2.38487e-08,0.5232
