.HEADER
..NAMES
Time,V U2.J7
.DATA
8.8927e-09,0.0021
8.9023e-09,0.0001
8.9120e-09,-0.0015
8.9216e-09,0.0073
8.9313e-09,0.0257
8.9409e-09,0.0447
8.9506e-09,0.0659
8.9602e-09,0.0941
8.9698e-09,0.1289
8.9795e-09,0.1770
8.9891e-09,0.2362
8.9988e-09,0.2944
9.0084e-09,0.3501
9.0181e-09,0.4016
9.0277e-09,0.4465
9.0374e-09,0.4892
9.0470e-09,0.5302
9.0567e-09,0.5644
9.0663e-09,0.5907
9.0759e-09,0.6078
9.0856e-09,0.6136
9.0952e-09,0.6136
9.1049e-09,0.6125
9.1145e-09,0.6108
9.1242e-09,0.6104
9.1338e-09,0.6107
9.1435e-09,0.6094
9.1531e-09,0.6079
9.1627e-09,0.6083
9.1724e-09,0.6103
9.1820e-09,0.6155
9.1917e-09,0.6226
9.2013e-09,0.6276
9.2110e-09,0.6297
9.2206e-09,0.6298
9.2303e-09,0.6274
9.2399e-09,0.6234
9.2496e-09,0.6187
9.2592e-09,0.6127
9.2688e-09,0.6051
9.2785e-09,0.5973
9.2881e-09,0.5908
9.2978e-09,0.5873
9.3074e-09,0.5877
9.3171e-09,0.5918
9.3267e-09,0.5991
9.3364e-09,0.6087
9.3460e-09,0.6186
9.3556e-09,0.6273
9.3653e-09,0.6343
9.3749e-09,0.6389
9.3846e-09,0.6397
9.3942e-09,0.6357
9.4039e-09,0.6257
9.4135e-09,0.6105
9.4232e-09,0.5928
9.4328e-09,0.5755
9.4425e-09,0.5605
9.4521e-09,0.5495
9.4617e-09,0.5425
9.4714e-09,0.5396
9.4810e-09,0.5422
9.4907e-09,0.5520
9.5003e-09,0.5694
9.5100e-09,0.5938
9.5196e-09,0.6226
9.5293e-09,0.6527
9.5389e-09,0.6643
9.5486e-09,0.6575
9.5582e-09,0.6476
9.5678e-09,0.6270
9.5775e-09,0.5923
9.5871e-09,0.5662
9.5968e-09,0.5371
9.6064e-09,0.4917
9.6161e-09,0.4464
9.6257e-09,0.3981
9.6354e-09,0.3471
9.6450e-09,0.3131
9.6546e-09,0.2925
9.6643e-09,0.2764
9.6739e-09,0.2717
9.6836e-09,0.2720
9.6932e-09,0.2711
9.7029e-09,0.2784
9.7125e-09,0.2924
9.7222e-09,0.3091
9.7318e-09,0.3332
9.7415e-09,0.3593
9.7511e-09,0.3745
9.7607e-09,0.3823
9.7704e-09,0.3878
9.7800e-09,0.3909
9.7897e-09,0.3984
9.7993e-09,0.4085
9.8090e-09,0.4139
9.8186e-09,0.4178
9.8283e-09,0.4222
9.8379e-09,0.4257
9.8475e-09,0.4339
9.8572e-09,0.4486
9.8668e-09,0.4628
9.8765e-09,0.4746
9.8861e-09,0.4839
9.8958e-09,0.4868
9.9054e-09,0.4840
9.9151e-09,0.4791
9.9247e-09,0.4714
9.9344e-09,0.4611
9.9440e-09,0.4494
9.9536e-09,0.4370
9.9633e-09,0.4276
9.9729e-09,0.4253
9.9826e-09,0.4295
9.9922e-09,0.4397
1.00019e-08,0.4552
1.00115e-08,0.4724
1.00212e-08,0.4899
1.00308e-08,0.5087
1.00404e-08,0.5267
1.00501e-08,0.5414
1.00597e-08,0.5509
1.00694e-08,0.5517
1.00790e-08,0.5428
1.00887e-08,0.5269
1.00983e-08,0.5045
1.01080e-08,0.4761
1.01176e-08,0.4424
1.01273e-08,0.4022
1.01369e-08,0.3548
1.01465e-08,0.3035
1.01562e-08,0.2505
1.01658e-08,0.1976
1.01755e-08,0.1489
1.01851e-08,0.1060
1.01948e-08,0.0672
1.02044e-08,0.0328
