.HEADER
..NAMES
Time,V U2.A3
.DATA
8.0922e-09,1.1925
8.1018e-09,1.1925
8.1114e-09,1.1933
8.1211e-09,1.1953
8.1307e-09,1.1991
8.1404e-09,1.2041
8.1500e-09,1.2098
8.1597e-09,1.2152
8.1693e-09,1.2195
8.1790e-09,1.2223
8.1886e-09,1.2234
8.1983e-09,1.2226
8.2079e-09,1.2198
8.2175e-09,1.2150
8.2272e-09,1.2085
8.2368e-09,1.2011
8.2465e-09,1.1936
8.2561e-09,1.1872
8.2658e-09,1.1826
8.2754e-09,1.1805
8.2851e-09,1.1808
8.2947e-09,1.1829
8.3043e-09,1.1861
8.3140e-09,1.1895
8.3236e-09,1.1923
8.3333e-09,1.1941
8.3429e-09,1.1944
8.3526e-09,1.1933
8.3622e-09,1.1910
8.3719e-09,1.1881
8.3815e-09,1.1853
8.3911e-09,1.1831
8.4008e-09,1.1821
8.4104e-09,1.1822
8.4201e-09,1.1832
8.4297e-09,1.1847
8.4394e-09,1.1859
8.4490e-09,1.1864
8.4587e-09,1.1860
8.4683e-09,1.1847
8.4780e-09,1.1828
8.4876e-09,1.1805
8.4972e-09,1.1784
8.5069e-09,1.1767
8.5165e-09,1.1760
8.5262e-09,1.1763
8.5358e-09,1.1776
8.5455e-09,1.1797
8.5551e-09,1.1825
8.5648e-09,1.1857
8.5744e-09,1.1891
8.5840e-09,1.1927
8.5937e-09,1.1962
8.6033e-09,1.1995
8.6130e-09,1.2024
8.6226e-09,1.2046
8.6323e-09,1.2060
8.6419e-09,1.2067
8.6516e-09,1.2066
8.6612e-09,1.2061
8.6709e-09,1.2053
8.6805e-09,1.2043
8.6901e-09,1.2031
8.6998e-09,1.2017
8.7094e-09,1.2002
8.7191e-09,1.1989
8.7287e-09,1.1979
8.7384e-09,1.1975
8.7480e-09,1.1978
8.7577e-09,1.1986
8.7673e-09,1.1996
8.7769e-09,1.2006
8.7866e-09,1.2013
8.7962e-09,1.2017
8.8059e-09,1.2016
8.8155e-09,1.2012
8.8252e-09,1.2006
8.8348e-09,1.2001
8.8445e-09,1.1998
8.8541e-09,1.2000
8.8638e-09,1.2007
8.8734e-09,1.2018
8.8830e-09,1.2032
8.8927e-09,1.2045
8.9023e-09,1.2055
8.9120e-09,1.2059
8.9216e-09,1.2054
8.9313e-09,1.2042
8.9409e-09,1.2025
8.9506e-09,1.2006
8.9602e-09,1.1988
8.9698e-09,1.1974
8.9795e-09,1.1967
8.9891e-09,1.1966
8.9988e-09,1.1972
9.0084e-09,1.1984
9.0181e-09,1.1999
9.0277e-09,1.2015
9.0374e-09,1.2030
9.0470e-09,1.2043
9.0567e-09,1.2052
9.0663e-09,1.2056
9.0759e-09,1.2057
9.0856e-09,1.2054
9.0952e-09,1.2049
9.1049e-09,1.2044
9.1145e-09,1.2039
9.1242e-09,1.2035
9.1338e-09,1.2033
9.1435e-09,1.2033
9.1531e-09,1.2033
9.1627e-09,1.2032
9.1724e-09,1.2029
9.1820e-09,1.2023
9.1917e-09,1.2016
9.2013e-09,1.2007
9.2110e-09,1.1999
9.2206e-09,1.1993
9.2303e-09,1.1989
9.2399e-09,1.1987
9.2496e-09,1.1987
9.2592e-09,1.1987
9.2688e-09,1.1989
9.2785e-09,1.1991
9.2881e-09,1.1993
9.2978e-09,1.1996
9.3074e-09,1.1999
9.3171e-09,1.2003
9.3267e-09,1.2008
9.3364e-09,1.2012
9.3460e-09,1.2017
9.3556e-09,1.2020
9.3653e-09,1.2021
9.3749e-09,1.2021
9.3846e-09,1.2017
9.3942e-09,1.2012
9.4039e-09,1.2005
9.4135e-09,1.1997
9.4232e-09,1.1991
9.4328e-09,1.1987
9.4425e-09,1.1985
9.4521e-09,1.1986
9.4617e-09,1.1990
9.4714e-09,1.1995
9.4810e-09,1.2000
9.4907e-09,1.2006
9.5003e-09,1.2011
9.5100e-09,1.2014
9.5196e-09,1.2016
9.5293e-09,1.2016
9.5389e-09,1.2014
9.5486e-09,1.2012
9.5582e-09,1.2009
9.5678e-09,1.2008
9.5775e-09,1.2008
9.5871e-09,1.2009
9.5968e-09,1.2012
9.6064e-09,1.2015
9.6161e-09,1.2018
9.6257e-09,1.2019
9.6354e-09,1.2019
9.6450e-09,1.2016
9.6546e-09,1.2011
9.6643e-09,1.2005
9.6739e-09,1.1999
9.6836e-09,1.1993
9.6932e-09,1.1990
9.7029e-09,1.1989
9.7125e-09,1.1990
9.7222e-09,1.1993
9.7318e-09,1.1996
9.7415e-09,1.2000
9.7511e-09,1.2004
9.7607e-09,1.2007
9.7704e-09,1.2010
9.7800e-09,1.2011
9.7897e-09,1.2012
9.7993e-09,1.2012
9.8090e-09,1.2012
9.8186e-09,1.2012
9.8283e-09,1.2011
9.8379e-09,1.2011
9.8475e-09,1.2010
9.8572e-09,1.2009
9.8668e-09,1.2008
9.8765e-09,1.2007
9.8861e-09,1.2006
9.8958e-09,1.2005
9.9054e-09,1.2005
9.9151e-09,1.2005
9.9247e-09,1.2005
9.9344e-09,1.2005
9.9440e-09,1.2005
9.9536e-09,1.2006
9.9633e-09,1.2006
9.9729e-09,1.2007
9.9826e-09,1.2007
9.9922e-09,1.2007
1.00019e-08,1.2007
1.00115e-08,1.2007
1.00212e-08,1.2007
1.00308e-08,1.2008
1.00404e-08,1.2008
1.00501e-08,1.2009
1.00597e-08,1.2011
1.00694e-08,1.2012
1.00790e-08,1.2013
1.00887e-08,1.2013
1.00983e-08,1.2012
1.01080e-08,1.2010
