.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
1.94047e-08,0.8233
1.94279e-08,0.8667
1.94512e-08,0.9029
1.94745e-08,0.9216
1.94977e-08,0.9196
1.95210e-08,0.8976
1.95443e-08,0.8436
1.95675e-08,0.7428
1.95908e-08,0.5854
1.96141e-08,0.4641
1.96373e-08,0.3933
1.96606e-08,0.3537
1.96839e-08,0.3402
1.97071e-08,0.3381
1.97304e-08,0.3316
1.97537e-08,0.3098
1.97769e-08,0.2794
1.98002e-08,0.2528
1.98235e-08,0.2425
1.98468e-08,0.2529
1.98700e-08,0.2832
1.98933e-08,0.3268
1.99166e-08,0.3731
1.99398e-08,0.4079
1.99631e-08,0.4194
1.99864e-08,0.4052
2.00096e-08,0.3725
2.00329e-08,0.3313
2.00562e-08,0.2901
2.00794e-08,0.2593
2.01027e-08,0.2480
2.01260e-08,0.2563
2.01492e-08,0.2759
2.01725e-08,0.3082
2.01958e-08,0.3898
2.02190e-08,0.5588
2.02423e-08,0.7048
2.02656e-08,0.7784
2.02888e-08,0.8230
2.03121e-08,0.8396
2.03354e-08,0.8416
2.03586e-08,0.8464
2.03819e-08,0.8685
2.04052e-08,0.9009
2.04284e-08,0.9278
2.04517e-08,0.9374
2.04750e-08,0.9252
2.04982e-08,0.8928
2.05215e-08,0.8470
2.05448e-08,0.7981
2.05680e-08,0.7607
2.05913e-08,0.7473
2.06146e-08,0.7606
2.06378e-08,0.7933
2.06611e-08,0.8355
2.06844e-08,0.8784
2.07076e-08,0.9108
2.07309e-08,0.9236
2.07542e-08,0.9165
2.07774e-08,0.8838
2.08007e-08,0.8249
2.08240e-08,0.7027
2.08472e-08,0.5452
2.08705e-08,0.4370
2.08938e-08,0.3771
2.09170e-08,0.3442
2.09403e-08,0.3359
2.09636e-08,0.3373
2.09868e-08,0.3268
2.10101e-08,0.3019
2.10334e-08,0.2712
2.10566e-08,0.2481
2.10799e-08,0.2433
2.11032e-08,0.2596
2.11264e-08,0.2946
2.11497e-08,0.3404
2.11730e-08,0.3850
2.11962e-08,0.4142
2.12195e-08,0.4184
2.12428e-08,0.3980
2.12660e-08,0.3618
2.12893e-08,0.3194
2.13126e-08,0.2799
2.13358e-08,0.2538
2.13591e-08,0.2482
2.13824e-08,0.2608
2.14056e-08,0.2822
2.14289e-08,0.3207
2.14522e-08,0.4288
2.14754e-08,0.6079
2.14987e-08,0.7287
2.15220e-08,0.7992
2.15452e-08,0.8315
2.15685e-08,0.8425
2.15918e-08,0.8426
2.16150e-08,0.8519
2.16383e-08,0.8775
2.16616e-08,0.9096
2.16848e-08,0.9324
2.17081e-08,0.9360
2.17314e-08,0.9177
2.17546e-08,0.8809
2.17779e-08,0.8330
2.18012e-08,0.7859
2.18244e-08,0.7542
2.18477e-08,0.7484
2.18710e-08,0.7680
2.18942e-08,0.8042
2.19175e-08,0.8473
2.19408e-08,0.8885
2.19640e-08,0.9162
2.19873e-08,0.9232
2.20106e-08,0.9120
2.20338e-08,0.8695
2.20571e-08,0.8000
2.20804e-08,0.6541
2.21037e-08,0.5083
2.21269e-08,0.4165
2.21502e-08,0.3656
2.21735e-08,0.3401
2.21967e-08,0.3350
2.22200e-08,0.3346
2.22433e-08,0.3208
2.22665e-08,0.2933
2.22898e-08,0.2634
2.23131e-08,0.2447
2.23363e-08,0.2456
2.23596e-08,0.2675
2.23829e-08,0.3063
2.24061e-08,0.3532
2.24294e-08,0.3950
2.24527e-08,0.4181
2.24759e-08,0.4152
2.24992e-08,0.3895
2.25225e-08,0.3508
2.25457e-08,0.3082
2.25690e-08,0.2713
2.25923e-08,0.2503
2.26155e-08,0.2502
2.26388e-08,0.2661
2.26621e-08,0.2907
2.26853e-08,0.3439
2.27086e-08,0.4804
2.27319e-08,0.6463
2.27551e-08,0.7517
2.27784e-08,0.8074
2.28017e-08,0.8369
2.28249e-08,0.8431
2.28482e-08,0.8429
2.28715e-08,0.8573
2.28947e-08,0.8863
2.29180e-08,0.9174
2.29413e-08,0.9355
2.29645e-08,0.9330
2.29878e-08,0.9091
2.30111e-08,0.8683
2.30343e-08,0.8193
2.30576e-08,0.7751
2.30809e-08,0.7502
2.31041e-08,0.7521
2.31274e-08,0.7772
2.31507e-08,0.8162
2.31739e-08,0.8598
2.31972e-08,0.8982
2.32205e-08,0.9202
2.32437e-08,0.9213
2.32670e-08,0.9051
2.32903e-08,0.8532
2.33135e-08,0.7735
2.33368e-08,0.6115
2.33601e-08,0.4798
2.33833e-08,0.4031
2.34066e-08,0.3581
2.34299e-08,0.3384
2.34531e-08,0.3369
2.34764e-08,0.3329
2.34997e-08,0.3141
2.35229e-08,0.2844
2.35462e-08,0.2562
2.35695e-08,0.2425
2.35927e-08,0.2495
2.36160e-08,0.2768
2.36393e-08,0.3188
2.36625e-08,0.3657
2.36858e-08,0.4036
2.37091e-08,0.4198
2.37323e-08,0.4097
2.37556e-08,0.3793
2.37789e-08,0.3388
2.38021e-08,0.2969
2.38254e-08,0.2635
2.38487e-08,0.2482
2.38719e-08,0.2535
2.38952e-08,0.2720
2.39185e-08,0.3013
2.39417e-08,0.3675
2.39650e-08,0.5267
2.39883e-08,0.6767
2.40115e-08,0.7678
2.40348e-08,0.8178
2.40581e-08,0.8369
2.40813e-08,0.8406
2.41046e-08,0.8446
2.41279e-08,0.8635
2.41511e-08,0.8950
2.41744e-08,0.9240
2.41977e-08,0.9373
2.42209e-08,0.9291
2.42442e-08,0.8999
2.42675e-08,0.8559
2.42907e-08,0.8068
2.43140e-08,0.7665
2.43373e-08,0.7483
2.43605e-08,0.7569
2.43838e-08,0.7867
2.44071e-08,0.8278
2.44303e-08,0.8711
2.44536e-08,0.9058
2.44769e-08,0.9223
2.45002e-08,0.9185
2.45234e-08,0.8928
2.45467e-08,0.8370
2.45700e-08,0.7263
2.45932e-08,0.5710
2.46165e-08,0.4538
2.46398e-08,0.3885
2.46630e-08,0.3519
2.46863e-08,0.3381
2.47096e-08,0.3383
2.47328e-08,0.3302
2.47561e-08,0.3069
2.47794e-08,0.2761
