.HEADER
..NAMES
Time,V U1.J1
.DATA
2.26853e-08,0.0923
2.27086e-08,0.1857
2.27319e-08,0.3406
2.27551e-08,0.4786
2.27784e-08,0.5660
2.28017e-08,0.6292
2.28249e-08,0.6610
2.28482e-08,0.6700
2.28715e-08,0.6698
2.28947e-08,0.6657
2.29180e-08,0.6618
2.29413e-08,0.6574
2.29645e-08,0.6559
2.29878e-08,0.6560
2.30111e-08,0.6563
2.30343e-08,0.6552
2.30576e-08,0.6520
2.30809e-08,0.6474
2.31041e-08,0.6424
2.31274e-08,0.6395
2.31507e-08,0.6408
2.31739e-08,0.6478
2.31972e-08,0.6620
2.32205e-08,0.6876
2.32437e-08,0.7305
2.32670e-08,0.7893
2.32903e-08,0.8593
2.33135e-08,0.9355
2.33368e-08,1.0122
2.33601e-08,1.0820
2.33833e-08,1.1397
2.34066e-08,1.1838
2.34299e-08,1.2156
2.34531e-08,1.2364
2.34764e-08,1.2469
2.34997e-08,1.2492
2.35229e-08,1.2465
2.35462e-08,1.2421
2.35695e-08,1.2380
2.35927e-08,1.2355
2.36160e-08,1.2348
2.36393e-08,1.2357
2.36625e-08,1.2378
2.36858e-08,1.2410
2.37091e-08,1.2442
2.37323e-08,1.2447
2.37556e-08,1.2399
2.37789e-08,1.2288
2.38021e-08,1.2117
2.38254e-08,1.1900
2.38487e-08,1.1669
2.38719e-08,1.1467
2.38952e-08,1.1274
2.39185e-08,1.0833
2.39417e-08,0.9989
2.39650e-08,0.8338
2.39883e-08,0.6972
2.40115e-08,0.6052
2.40348e-08,0.5472
2.40581e-08,0.5185
2.40813e-08,0.5094
2.41046e-08,0.5093
2.41279e-08,0.5126
2.41511e-08,0.5160
2.41744e-08,0.5197
2.41977e-08,0.5212
2.42209e-08,0.5201
2.42442e-08,0.5174
2.42675e-08,0.5143
2.42907e-08,0.5121
2.43140e-08,0.5117
2.43373e-08,0.5144
2.43605e-08,0.5175
2.43838e-08,0.5189
2.44071e-08,0.5161
2.44303e-08,0.5061
2.44536e-08,0.4838
2.44769e-08,0.4433
2.45002e-08,0.3849
2.45234e-08,0.3148
2.45467e-08,0.2383
2.45700e-08,0.1616
2.45932e-08,0.0920
