.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
2.30111e-08,0.5341
2.30343e-08,0.5276
2.30576e-08,0.5187
2.30809e-08,0.5324
2.31041e-08,0.6245
2.31274e-08,0.8315
2.31507e-08,0.9886
2.31739e-08,1.0987
2.31972e-08,1.1777
2.32205e-08,1.2245
2.32437e-08,1.2521
2.32670e-08,1.2469
2.32903e-08,1.2213
2.33135e-08,1.2006
2.33368e-08,1.1923
2.33601e-08,1.1936
2.33833e-08,1.1951
2.34066e-08,1.1901
2.34299e-08,1.1844
2.34531e-08,1.1879
2.34764e-08,1.1812
2.34997e-08,1.1362
2.35229e-08,1.0153
2.35462e-08,0.8424
2.35695e-08,0.7154
2.35927e-08,0.6361
2.36160e-08,0.5794
2.36393e-08,0.5375
2.36625e-08,0.5151
2.36858e-08,0.5198
2.37091e-08,0.5386
2.37323e-08,0.5507
2.37556e-08,0.5510
2.37789e-08,0.5426
2.38021e-08,0.5348
2.38254e-08,0.5338
2.38487e-08,0.5334
2.38719e-08,0.5257
2.38952e-08,0.5183
2.39185e-08,0.5421
2.39417e-08,0.6621
2.39650e-08,0.8684
2.39883e-08,1.0122
2.40115e-08,1.1193
2.40348e-08,1.1876
2.40581e-08,1.2316
2.40813e-08,1.2538
2.41046e-08,1.2426
2.41279e-08,1.2164
2.41511e-08,1.1979
2.41744e-08,1.1920
2.41977e-08,1.1942
2.42209e-08,1.1947
2.42442e-08,1.1886
2.42675e-08,1.1843
2.42907e-08,1.1893
2.43140e-08,1.1742
2.43373e-08,1.1221
2.43605e-08,0.9764
2.43838e-08,0.8118
2.44071e-08,0.6981
2.44303e-08,0.6238
2.44536e-08,0.5703
2.44769e-08,0.5312
2.45002e-08,0.5134
2.45234e-08,0.5231
2.45467e-08,0.5417
2.45700e-08,0.5517
2.45932e-08,0.5498
2.46165e-08,0.5408
2.46398e-08,0.5341
2.46630e-08,0.5340
2.46863e-08,0.5324
2.47096e-08,0.5238
2.47328e-08,0.5198
2.47561e-08,0.5569
2.47794e-08,0.7050
