.HEADER
..NAMES
Time,V U1.F1
.DATA
2.05448e-08,1.2033
2.05680e-08,1.1520
2.05913e-08,1.0957
2.06146e-08,1.0304
2.06378e-08,0.9575
2.06611e-08,0.8902
2.06844e-08,0.8353
2.07076e-08,0.7858
2.07309e-08,0.7340
2.07542e-08,0.6838
2.07774e-08,0.6187
2.08007e-08,0.5384
2.08240e-08,0.3567
2.08472e-08,0.1733
2.08705e-08,0.0439
2.08938e-08,-0.0544
2.09170e-08,-0.1152
2.09403e-08,-0.1197
2.09636e-08,-0.0821
2.09868e-08,-0.0228
2.10101e-08,0.0485
2.10334e-08,0.1293
2.10566e-08,0.2142
2.10799e-08,0.2928
2.11032e-08,0.3585
2.11264e-08,0.4137
2.11497e-08,0.4637
2.11730e-08,0.5074
2.11962e-08,0.5475
2.12195e-08,0.6209
2.12428e-08,0.8229
2.12660e-08,1.0351
2.12893e-08,1.1825
2.13126e-08,1.2840
2.13358e-08,1.3252
2.13591e-08,1.3191
2.13824e-08,1.2769
2.14056e-08,1.2180
2.14289e-08,1.1498
2.14522e-08,1.0694
2.14754e-08,0.9833
2.14987e-08,0.9054
2.15220e-08,0.8404
2.15452e-08,0.7812
2.15685e-08,0.7225
2.15918e-08,0.6691
2.16150e-08,0.6241
2.16383e-08,0.5832
2.16616e-08,0.5433
2.16848e-08,0.5107
2.17081e-08,0.4924
2.17314e-08,0.4866
2.17546e-08,0.4909
2.17779e-08,0.5106
2.18012e-08,0.5526
2.18244e-08,0.6155
2.18477e-08,0.6914
2.18710e-08,0.7762
2.18942e-08,0.8668
2.19175e-08,0.9553
2.19408e-08,1.0331
2.19640e-08,1.0983
2.19873e-08,1.1555
2.20106e-08,1.2055
2.20338e-08,1.2444
2.20571e-08,1.2711
2.20804e-08,1.2894
2.21037e-08,1.3020
2.21269e-08,1.3076
2.21502e-08,1.3066
2.21735e-08,1.3039
2.21967e-08,1.3030
2.22200e-08,1.3020
2.22433e-08,1.2978
2.22665e-08,1.2911
2.22898e-08,1.2839
2.23131e-08,1.2753
2.23363e-08,1.2627
2.23596e-08,1.2461
2.23829e-08,1.2274
2.24061e-08,1.2068
2.24294e-08,1.1840
2.24527e-08,1.1612
2.24759e-08,1.1425
2.24992e-08,1.1300
2.25225e-08,1.1227
2.25457e-08,1.1195
2.25690e-08,1.1202
2.25923e-08,1.1243
2.26155e-08,1.1297
2.26388e-08,1.1358
2.26621e-08,1.1437
2.26853e-08,1.1538
2.27086e-08,1.1641
2.27319e-08,1.1724
2.27551e-08,1.1785
2.27784e-08,1.1832
2.28017e-08,1.1865
2.28249e-08,1.1881
2.28482e-08,1.1817
2.28715e-08,1.1413
2.28947e-08,1.0523
2.29180e-08,0.8884
2.29413e-08,0.7500
2.29645e-08,0.6599
2.29878e-08,0.6014
2.30111e-08,0.5741
2.30343e-08,0.5690
2.30576e-08,0.5714
2.30809e-08,0.5702
2.31041e-08,0.5668
2.31274e-08,0.5636
2.31507e-08,0.5570
2.31739e-08,0.5448
2.31972e-08,0.5311
2.32205e-08,0.5215
2.32437e-08,0.5148
2.32670e-08,0.5093
2.32903e-08,0.5074
2.33135e-08,0.5118
2.33368e-08,0.5209
2.33601e-08,0.5291
2.33833e-08,0.5331
2.34066e-08,0.5319
2.34299e-08,0.5205
2.34531e-08,0.4933
2.34764e-08,0.4489
2.34997e-08,0.3919
2.35229e-08,0.3266
2.35462e-08,0.2559
2.35695e-08,0.1848
