.HEADER
..NAMES
Time,V U1.K1
.DATA
2.38952e-08,0.6697
2.39185e-08,0.6677
2.39417e-08,0.6632
2.39650e-08,0.6579
2.39883e-08,0.6556
2.40115e-08,0.6590
2.40348e-08,0.6662
2.40581e-08,0.6771
2.40813e-08,0.6952
2.41046e-08,0.7273
2.41279e-08,0.7756
2.41511e-08,0.8355
2.41744e-08,0.9019
2.41977e-08,0.9711
2.42209e-08,1.0376
2.42442e-08,1.0955
2.42675e-08,1.1415
2.42907e-08,1.1756
2.43140e-08,1.1996
2.43373e-08,1.2157
2.43605e-08,1.2257
2.43838e-08,1.2315
2.44071e-08,1.2344
2.44303e-08,1.2357
2.44536e-08,1.2370
2.44769e-08,1.2395
2.45002e-08,1.2435
2.45234e-08,1.2477
2.45467e-08,1.2505
2.45700e-08,1.2517
