.HEADER
..NAMES
Time,V U1.T1
.DATA
1.93581e-08,1.0709
1.93814e-08,0.9053
1.94047e-08,0.7754
1.94279e-08,0.6832
1.94512e-08,0.6185
1.94745e-08,0.5788
1.94977e-08,0.5594
1.95210e-08,0.5526
1.95443e-08,0.5537
1.95675e-08,0.5582
1.95908e-08,0.5597
1.96141e-08,0.5559
1.96373e-08,0.5471
1.96606e-08,0.5342
1.96839e-08,0.5195
1.97071e-08,0.5057
1.97304e-08,0.4947
1.97537e-08,0.4859
1.97769e-08,0.4768
1.98002e-08,0.4673
1.98235e-08,0.4580
1.98468e-08,0.4473
1.98700e-08,0.4302
1.98933e-08,0.4009
1.99166e-08,0.3591
1.99398e-08,0.3085
1.99631e-08,0.2522
1.99864e-08,0.1936
2.00096e-08,0.1370
2.00329e-08,0.0856
2.00562e-08,0.0404
2.00794e-08,0.0018
2.01027e-08,-0.0285
2.01260e-08,-0.0491
2.01492e-08,-0.0589
2.01725e-08,-0.0451
2.01958e-08,0.0120
2.02190e-08,0.1494
2.02423e-08,0.2858
2.02656e-08,0.3993
2.02888e-08,0.4852
2.03121e-08,0.5391
2.03354e-08,0.5700
2.03586e-08,0.5830
2.03819e-08,0.5874
2.04052e-08,0.5891
2.04284e-08,0.5910
2.04517e-08,0.5975
2.04750e-08,0.6093
2.04982e-08,0.6257
2.05215e-08,0.6445
2.05448e-08,0.6628
2.05680e-08,0.6790
2.05913e-08,0.6920
2.06146e-08,0.7017
2.06378e-08,0.7080
2.06611e-08,0.7110
2.06844e-08,0.7126
2.07076e-08,0.7166
2.07309e-08,0.7316
2.07542e-08,0.7628
2.07774e-08,0.8085
2.08007e-08,0.8642
2.08240e-08,0.9259
2.08472e-08,0.9890
2.08705e-08,1.0482
2.08938e-08,1.1006
2.09170e-08,1.1456
2.09403e-08,1.1822
2.09636e-08,1.2090
2.09868e-08,1.1948
2.10101e-08,1.1438
2.10334e-08,0.9825
2.10566e-08,0.8210
2.10799e-08,0.7043
2.11032e-08,0.6175
2.11264e-08,0.5615
2.11497e-08,0.5335
2.11730e-08,0.5252
2.11962e-08,0.5304
2.12195e-08,0.5434
2.12428e-08,0.5574
2.12660e-08,0.5652
2.12893e-08,0.5646
2.13126e-08,0.5558
2.13358e-08,0.5402
2.13591e-08,0.5218
2.13824e-08,0.5039
2.14056e-08,0.4894
2.14289e-08,0.4770
2.14522e-08,0.4657
2.14754e-08,0.4565
2.14987e-08,0.4491
2.15220e-08,0.4405
2.15452e-08,0.4234
2.15685e-08,0.3931
2.15918e-08,0.3508
2.16150e-08,0.2999
2.16383e-08,0.2430
2.16616e-08,0.1837
2.16848e-08,0.1262
2.17081e-08,0.0731
2.17314e-08,0.0251
2.17546e-08,-0.0160
2.17779e-08,-0.0471
2.18012e-08,-0.0666
2.18244e-08,-0.0696
2.18477e-08,-0.0427
2.18710e-08,0.0498
2.18942e-08,0.2074
2.19175e-08,0.3378
2.19408e-08,0.4331
2.19640e-08,0.5140
2.19873e-08,0.5606
2.20106e-08,0.5830
2.20338e-08,0.5908
2.20571e-08,0.5911
2.20804e-08,0.5893
2.21037e-08,0.5894
2.21269e-08,0.5950
2.21502e-08,0.6066
2.21735e-08,0.6237
2.21967e-08,0.6432
2.22200e-08,0.6630
2.22433e-08,0.6814
2.22665e-08,0.6972
2.22898e-08,0.7093
2.23131e-08,0.7170
2.23363e-08,0.7205
2.23596e-08,0.7218
2.23829e-08,0.7273
2.24061e-08,0.7456
2.24294e-08,0.7798
2.24527e-08,0.8271
2.24759e-08,0.8835
2.24992e-08,0.9451
2.25225e-08,1.0070
2.25457e-08,1.0644
2.25690e-08,1.1154
2.25923e-08,1.1594
2.26155e-08,1.1947
2.26388e-08,1.2195
2.26621e-08,1.2330
2.26853e-08,1.2369
2.27086e-08,1.2342
2.27319e-08,1.2287
2.27551e-08,1.2239
2.27784e-08,1.2216
2.28017e-08,1.2229
2.28249e-08,1.2285
2.28482e-08,1.2387
2.28715e-08,1.2518
2.28947e-08,1.2639
2.29180e-08,1.2708
2.29413e-08,1.2700
2.29645e-08,1.2614
2.29878e-08,1.2464
2.30111e-08,1.2272
2.30343e-08,1.2071
2.30576e-08,1.1883
2.30809e-08,1.1721
2.31041e-08,1.1584
2.31274e-08,1.1481
2.31507e-08,1.1430
2.31739e-08,1.1441
2.31972e-08,1.1516
2.32205e-08,1.1636
2.32437e-08,1.1773
2.32670e-08,1.1897
2.32903e-08,1.1988
2.33135e-08,1.2033
2.33368e-08,1.2029
2.33601e-08,1.1983
2.33833e-08,1.1907
2.34066e-08,1.1823
2.34299e-08,1.1755
2.34531e-08,1.1719
2.34764e-08,1.1590
2.34997e-08,1.1181
2.35229e-08,1.0107
2.35462e-08,0.8488
2.35695e-08,0.7235
2.35927e-08,0.6379
2.36160e-08,0.5773
2.36393e-08,0.5416
2.36625e-08,0.5227
2.36858e-08,0.5112
2.37091e-08,0.5041
2.37323e-08,0.5000
2.37556e-08,0.4964
2.37789e-08,0.4934
2.38021e-08,0.4920
2.38254e-08,0.4926
2.38487e-08,0.4957
2.38719e-08,0.5013
2.38952e-08,0.5092
2.39185e-08,0.5179
2.39417e-08,0.5243
2.39650e-08,0.5267
2.39883e-08,0.5236
2.40115e-08,0.5121
2.40348e-08,0.4871
2.40581e-08,0.4447
2.40813e-08,0.3879
2.41046e-08,0.3233
2.41279e-08,0.2561
2.41511e-08,0.1906
2.41744e-08,0.1316
2.41977e-08,0.0822
2.42209e-08,0.0423
2.42442e-08,0.0107
2.42675e-08,-0.0132
2.42907e-08,-0.0295
2.43140e-08,-0.0395
2.43373e-08,-0.0455
2.43605e-08,-0.0498
2.43838e-08,-0.0551
2.44071e-08,-0.0628
2.44303e-08,-0.0728
2.44536e-08,-0.0839
2.44769e-08,-0.0949
2.45002e-08,-0.1046
2.45234e-08,-0.1106
