.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
1.84042e-08,0.5267
1.84275e-08,0.4556
1.84507e-08,0.3975
1.84740e-08,0.3601
1.84973e-08,0.3238
1.85205e-08,0.2017
1.85438e-08,-0.0651
1.85671e-08,-0.2843
1.85903e-08,-0.4279
1.86136e-08,-0.5248
1.86369e-08,-0.5889
1.86601e-08,-0.6190
1.86834e-08,-0.6410
1.87067e-08,-0.6664
1.87299e-08,-0.6853
1.87532e-08,-0.6818
1.87765e-08,-0.6484
1.87997e-08,-0.5903
1.88230e-08,-0.5190
1.88463e-08,-0.4481
1.88695e-08,-0.3911
1.88928e-08,-0.3531
1.89161e-08,-0.3162
1.89393e-08,-0.1800
1.89626e-08,0.0881
1.89859e-08,0.2987
1.90091e-08,0.4373
1.90324e-08,0.5339
1.90557e-08,0.5927
1.90789e-08,0.6214
1.91022e-08,0.6443
1.91255e-08,0.6692
1.91487e-08,0.6858
1.91720e-08,0.6794
1.91953e-08,0.6435
1.92185e-08,0.5840
1.92418e-08,0.5123
1.92651e-08,0.4426
1.92883e-08,0.3889
1.93116e-08,0.3525
1.93349e-08,0.3127
1.93581e-08,0.1628
1.93814e-08,-0.1166
1.94047e-08,-0.3127
1.94279e-08,-0.4473
1.94512e-08,-0.5425
1.94745e-08,-0.5974
1.94977e-08,-0.6225
1.95210e-08,-0.6461
1.95443e-08,-0.6713
1.95675e-08,-0.6868
1.95908e-08,-0.6776
1.96141e-08,-0.6386
1.96373e-08,-0.5770
1.96606e-08,-0.5046
1.96839e-08,-0.4352
1.97071e-08,-0.3829
1.97304e-08,-0.3457
1.97537e-08,-0.3036
1.97769e-08,-0.1358
1.98002e-08,0.1384
1.98235e-08,0.3267
1.98468e-08,0.4620
1.98700e-08,0.5490
1.98933e-08,0.6001
1.99166e-08,0.6262
1.99398e-08,0.6496
1.99631e-08,0.6735
1.99864e-08,0.6868
2.00096e-08,0.6745
2.00329e-08,0.6334
2.00562e-08,0.5704
2.00794e-08,0.4980
2.01027e-08,0.4302
2.01260e-08,0.3815
2.01492e-08,0.3450
2.01725e-08,0.2958
2.01958e-08,0.1058
2.02190e-08,-0.1645
2.02423e-08,-0.3436
2.02656e-08,-0.4702
2.02888e-08,-0.5563
2.03121e-08,-0.6033
2.03354e-08,-0.6279
2.03586e-08,-0.6510
2.03819e-08,-0.6755
2.04052e-08,-0.6873
2.04284e-08,-0.6721
2.04517e-08,-0.6279
2.04750e-08,-0.5630
2.04982e-08,-0.4903
2.05215e-08,-0.4231
2.05448e-08,-0.3759
2.05680e-08,-0.3384
2.05913e-08,-0.2805
2.06146e-08,-0.0781
2.06378e-08,0.1844
2.06611e-08,0.3587
2.06844e-08,0.4783
2.07076e-08,0.5612
2.07309e-08,0.6064
2.07542e-08,0.6304
2.07774e-08,0.6540
2.08007e-08,0.6774
2.08240e-08,0.6867
2.08472e-08,0.6685
2.08705e-08,0.6223
2.08938e-08,0.5563
2.09170e-08,0.4839
2.09403e-08,0.4186
2.09636e-08,0.3754
2.09868e-08,0.3378
2.10101e-08,0.2742
2.10334e-08,0.0482
2.10566e-08,-0.2054
2.10799e-08,-0.3752
2.11032e-08,-0.4867
2.11264e-08,-0.5691
2.11497e-08,-0.6096
2.11730e-08,-0.6314
2.11962e-08,-0.6561
2.12195e-08,-0.6794
2.12428e-08,-0.6867
2.12660e-08,-0.6655
2.12893e-08,-0.6164
2.13126e-08,-0.5488
2.13358e-08,-0.4762
2.13591e-08,-0.4117
2.13824e-08,-0.3692
2.14056e-08,-0.3315
2.14289e-08,-0.2633
2.14522e-08,-0.0157
2.14754e-08,0.2273
2.14987e-08,0.3867
2.15220e-08,0.4982
2.15452e-08,0.5731
2.15685e-08,0.6116
2.15918e-08,0.6345
2.16150e-08,0.6594
2.16383e-08,0.6809
2.16616e-08,0.6855
2.16848e-08,0.6614
2.17081e-08,0.6105
2.17314e-08,0.5421
2.17546e-08,0.4700
2.17779e-08,0.4079
2.18012e-08,0.3685
2.18244e-08,0.3312
2.18477e-08,0.2446
2.18710e-08,-0.0096
2.18942e-08,-0.2479
2.19175e-08,-0.4005
2.19408e-08,-0.5080
2.19640e-08,-0.5787
2.19873e-08,-0.6136
2.20106e-08,-0.6364
2.20338e-08,-0.6613
2.20571e-08,-0.6826
2.20804e-08,-0.6850
2.21037e-08,-0.6578
2.21269e-08,-0.6042
2.21502e-08,-0.5344
2.21735e-08,-0.4624
2.21967e-08,-0.4012
2.22200e-08,-0.3617
2.22433e-08,-0.3256
2.22665e-08,-0.2234
2.22898e-08,0.0357
2.23131e-08,0.2637
2.23363e-08,0.4146
2.23596e-08,0.5176
2.23829e-08,0.5821
2.24061e-08,0.6171
2.24294e-08,0.6394
2.24527e-08,0.6641
2.24759e-08,0.6836
2.24992e-08,0.6831
2.25225e-08,0.6533
2.25457e-08,0.5980
2.25690e-08,0.5277
2.25923e-08,0.4564
2.26155e-08,0.3981
2.26388e-08,0.3606
2.26621e-08,0.3241
2.26853e-08,0.2045
2.27086e-08,-0.0612
2.27319e-08,-0.2821
2.27551e-08,-0.4259
2.27784e-08,-0.5249
2.28017e-08,-0.5883
2.28249e-08,-0.6185
2.28482e-08,-0.6406
2.28715e-08,-0.6660
2.28947e-08,-0.6850
2.29180e-08,-0.6820
2.29413e-08,-0.6490
2.29645e-08,-0.5913
2.29878e-08,-0.5200
2.30111e-08,-0.4490
2.30343e-08,-0.3917
2.30576e-08,-0.3536
2.30809e-08,-0.3166
2.31041e-08,-0.1822
2.31274e-08,0.0844
2.31507e-08,0.2969
2.31739e-08,0.4353
2.31972e-08,0.5336
2.32205e-08,0.5922
2.32437e-08,0.6211
2.32670e-08,0.6438
2.32903e-08,0.6687
2.33135e-08,0.6856
2.33368e-08,0.6796
2.33601e-08,0.6442
2.33833e-08,0.5849
2.34066e-08,0.5132
2.34299e-08,0.4433
2.34531e-08,0.3894
2.34764e-08,0.3529
2.34997e-08,0.3136
2.35229e-08,0.1650
2.35462e-08,-0.1110
2.35695e-08,-0.3110
2.35927e-08,-0.4454
2.36160e-08,-0.5424
2.36393e-08,-0.5972
2.36625e-08,-0.6224
2.36858e-08,-0.6457
2.37091e-08,-0.6709
2.37323e-08,-0.6866
2.37556e-08,-0.6778
2.37789e-08,-0.6393
2.38021e-08,-0.5779
2.38254e-08,-0.5055
