.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
1.82413e-08,0.6615
1.82646e-08,0.6494
1.82879e-08,0.6410
1.83111e-08,0.6380
1.83344e-08,0.6392
1.83577e-08,0.6460
1.83809e-08,0.6624
1.84042e-08,0.6828
1.84275e-08,0.6965
1.84507e-08,0.6968
1.84740e-08,0.6797
1.84973e-08,0.6148
1.85205e-08,0.4346
1.85438e-08,0.0621
1.85671e-08,-0.2404
1.85903e-08,-0.4474
1.86136e-08,-0.5821
1.86369e-08,-0.6496
1.86601e-08,-0.6612
1.86834e-08,-0.6508
1.87067e-08,-0.6419
1.87299e-08,-0.6383
1.87532e-08,-0.6412
1.87765e-08,-0.6508
1.87997e-08,-0.6668
1.88230e-08,-0.6841
1.88463e-08,-0.6958
1.88695e-08,-0.6960
1.88928e-08,-0.6756
1.89161e-08,-0.6037
1.89393e-08,-0.4027
1.89626e-08,-0.0279
1.89859e-08,0.2621
1.90091e-08,0.4639
1.90324e-08,0.5989
1.90557e-08,0.6557
1.90789e-08,0.6590
1.91022e-08,0.6471
1.91255e-08,0.6398
1.91487e-08,0.6378
1.91720e-08,0.6399
1.91953e-08,0.6486
1.92185e-08,0.6665
1.92418e-08,0.6862
1.92651e-08,0.6976
1.92883e-08,0.6953
1.93116e-08,0.6704
1.93349e-08,0.5941
1.93581e-08,0.3691
1.93814e-08,-0.0102
1.94047e-08,-0.2844
1.94279e-08,-0.4797
1.94512e-08,-0.6038
1.94745e-08,-0.6548
1.94977e-08,-0.6593
1.95210e-08,-0.6488
1.95443e-08,-0.6406
1.95675e-08,-0.6383
1.95908e-08,-0.6425
1.96141e-08,-0.6537
1.96373e-08,-0.6704
1.96606e-08,-0.6871
1.96839e-08,-0.6969
1.97071e-08,-0.6945
1.97304e-08,-0.6649
1.97537e-08,-0.5821
1.97769e-08,-0.3305
1.98002e-08,0.0441
1.98235e-08,0.3057
1.98468e-08,0.4993
1.98700e-08,0.6139
1.98933e-08,0.6595
1.99166e-08,0.6567
1.99398e-08,0.6453
1.99631e-08,0.6390
1.99864e-08,0.6378
2.00096e-08,0.6408
2.00329e-08,0.6516
2.00562e-08,0.6706
2.00794e-08,0.6894
2.01027e-08,0.6983
2.01260e-08,0.6935
2.01492e-08,0.6588
2.01725e-08,0.5682
2.01958e-08,0.2902
2.02190e-08,-0.0724
2.02423e-08,-0.3324
2.02656e-08,-0.5110
2.02888e-08,-0.6174
2.03121e-08,-0.6593
2.03354e-08,-0.6577
2.03586e-08,-0.6469
2.03819e-08,-0.6396
