.HEADER
..NAMES
Time,V U1.P4
.DATA
1.76131e-08,-0.0263
1.76364e-08,-0.0386
1.76597e-08,-0.0432
1.76829e-08,-0.0236
1.77062e-08,0.0563
1.77295e-08,0.1972
1.77527e-08,0.3092
1.77760e-08,0.3834
1.77993e-08,0.4490
1.78225e-08,0.4928
1.78458e-08,0.5252
1.78691e-08,0.5519
1.78923e-08,0.5786
1.79156e-08,0.6080
1.79389e-08,0.6397
1.79621e-08,0.6722
1.79854e-08,0.7012
1.80087e-08,0.7234
1.80319e-08,0.7344
1.80552e-08,0.7328
1.80785e-08,0.7218
1.81017e-08,0.7076
1.81250e-08,0.6971
1.81483e-08,0.6949
1.81715e-08,0.7018
1.81948e-08,0.7163
1.82181e-08,0.7410
1.82413e-08,0.7806
1.82646e-08,0.8350
1.82879e-08,0.8999
1.83111e-08,0.9678
1.83344e-08,1.0307
1.83577e-08,1.0821
1.83809e-08,1.1193
1.84042e-08,1.1432
1.84275e-08,1.1576
1.84507e-08,1.1669
1.84740e-08,1.1674
1.84973e-08,1.1344
1.85205e-08,1.0497
1.85438e-08,0.8897
1.85671e-08,0.7701
1.85903e-08,0.7041
1.86136e-08,0.6643
1.86369e-08,0.6414
1.86601e-08,0.6232
1.86834e-08,0.6029
1.87067e-08,0.5807
1.87299e-08,0.5564
1.87532e-08,0.5314
1.87765e-08,0.5066
1.87997e-08,0.4835
1.88230e-08,0.4633
1.88463e-08,0.4486
1.88695e-08,0.4428
1.88928e-08,0.4467
1.89161e-08,0.4577
1.89393e-08,0.4700
1.89626e-08,0.4773
1.89859e-08,0.4763
1.90091e-08,0.4644
1.90324e-08,0.4379
1.90557e-08,0.3921
1.90789e-08,0.3285
1.91022e-08,0.2531
1.91255e-08,0.1750
1.91487e-08,0.1053
1.91720e-08,0.0519
1.91953e-08,0.0181
1.92185e-08,0.0013
1.92418e-08,-0.0046
1.92651e-08,-0.0066
1.92883e-08,-0.0096
1.93116e-08,-0.0154
1.93349e-08,-0.0231
1.93581e-08,-0.0318
1.93814e-08,-0.0418
1.94047e-08,-0.0531
1.94279e-08,-0.0649
1.94512e-08,-0.0747
1.94745e-08,-0.0794
1.94977e-08,-0.0776
1.95210e-08,-0.0694
1.95443e-08,-0.0551
1.95675e-08,-0.0354
1.95908e-08,-0.0119
1.96141e-08,0.0134
1.96373e-08,0.0375
1.96606e-08,0.0568
1.96839e-08,0.0676
1.97071e-08,0.0680
1.97304e-08,0.0587
1.97537e-08,0.0434
1.97769e-08,0.0277
1.98002e-08,0.0165
1.98235e-08,0.0123
1.98468e-08,0.0139
1.98700e-08,0.0188
1.98933e-08,0.0244
1.99166e-08,0.0290
1.99398e-08,0.0318
1.99631e-08,0.0324
1.99864e-08,0.0303
2.00096e-08,0.0254
2.00329e-08,0.0181
2.00562e-08,0.0088
2.00794e-08,-0.0014
2.01027e-08,-0.0112
2.01260e-08,-0.0194
2.01492e-08,-0.0253
2.01725e-08,-0.0284
2.01958e-08,-0.0283
2.02190e-08,-0.0245
2.02423e-08,-0.0170
2.02656e-08,-0.0070
2.02888e-08,0.0031
2.03121e-08,0.0102
2.03354e-08,0.0125
2.03586e-08,0.0098
2.03819e-08,0.0039
2.04052e-08,-0.0027
2.04284e-08,-0.0077
2.04517e-08,-0.0098
2.04750e-08,-0.0087
2.04982e-08,-0.0055
2.05215e-08,-0.0010
2.05448e-08,0.0037
2.05680e-08,0.0082
2.05913e-08,0.0121
2.06146e-08,0.0150
2.06378e-08,0.0164
2.06611e-08,0.0161
2.06844e-08,0.0144
2.07076e-08,0.0117
2.07309e-08,0.0084
2.07542e-08,0.0046
2.07774e-08,0.0006
2.08007e-08,-0.0031
2.08240e-08,-0.0057
2.08472e-08,-0.0063
2.08705e-08,-0.0043
2.08938e-08,-0.0003
2.09170e-08,0.0044
2.09403e-08,0.0083
2.09636e-08,0.0100
2.09868e-08,0.0090
2.10101e-08,0.0060
2.10334e-08,0.0021
2.10566e-08,-0.0015
2.10799e-08,-0.0039
2.11032e-08,-0.0050
2.11264e-08,-0.0049
2.11497e-08,-0.0039
2.11730e-08,-0.0023
2.11962e-08,-0.0003
2.12195e-08,0.0018
2.12428e-08,0.0037
2.12660e-08,0.0050
2.12893e-08,0.0058
2.13126e-08,0.0063
2.13358e-08,0.0063
2.13591e-08,0.0058
2.13824e-08,0.0047
2.14056e-08,0.0030
2.14289e-08,0.0008
2.14522e-08,-0.0012
2.14754e-08,-0.0022
2.14987e-08,-0.0018
2.15220e-08,0.0001
2.15452e-08,0.0028
2.15685e-08,0.0053
2.15918e-08,0.0068
2.16150e-08,0.0071
2.16383e-08,0.0062
2.16616e-08,0.0047
2.16848e-08,0.0030
2.17081e-08,0.0014
2.17314e-08,0.0003
2.17546e-08,-0.0003
2.17779e-08,-0.0004
2.18012e-08,-0.0001
2.18244e-08,0.0005
2.18477e-08,0.0012
2.18710e-08,0.0019
2.18942e-08,0.0024
2.19175e-08,0.0029
2.19408e-08,0.0034
2.19640e-08,0.0039
2.19873e-08,0.0041
2.20106e-08,0.0040
2.20338e-08,0.0032
2.20571e-08,0.0019
2.20804e-08,0.0006
2.21037e-08,-0.0004
2.21269e-08,-0.0006
2.21502e-08,0.0000
2.21735e-08,0.0013
2.21967e-08,0.0027
2.22200e-08,0.0038
2.22433e-08,0.0043
2.22665e-08,0.0043
2.22898e-08,0.0039
2.23131e-08,0.0033
2.23363e-08,0.0026
2.23596e-08,0.0019
2.23829e-08,0.0015
2.24061e-08,0.0013
2.24294e-08,0.0013
2.24527e-08,0.0015
2.24759e-08,0.0017
2.24992e-08,0.0019
2.25225e-08,0.0020
2.25457e-08,0.0022
2.25690e-08,0.0025
2.25923e-08,0.0030
2.26155e-08,0.0034
2.26388e-08,0.0035
2.26621e-08,0.0033
2.26853e-08,0.0027
2.27086e-08,0.0018
2.27319e-08,0.0011
2.27551e-08,0.0008
2.27784e-08,0.0008
2.28017e-08,0.0013
2.28249e-08,0.0019
2.28482e-08,0.0025
2.28715e-08,0.0030
2.28947e-08,0.0032
2.29180e-08,0.0031
2.29413e-08,0.0029
2.29645e-08,0.0026
2.29878e-08,0.0023
2.30111e-08,0.0020
2.30343e-08,0.0019
2.30576e-08,0.0019
2.30809e-08,0.0020
2.31041e-08,0.0020
2.31274e-08,0.0020
2.31507e-08,0.0019
2.31739e-08,0.0019
2.31972e-08,0.0021
2.32205e-08,0.0024
2.32437e-08,0.0028
2.32670e-08,0.0030
2.32903e-08,0.0030
2.33135e-08,0.0028
2.33368e-08,0.0024
2.33601e-08,0.0019
2.33833e-08,0.0016
2.34066e-08,0.0015
2.34299e-08,0.0016
2.34531e-08,0.0019
2.34764e-08,0.0022
2.34997e-08,0.0159
2.35229e-08,0.0654
2.35462e-08,0.2017
2.35695e-08,0.3453
2.35927e-08,0.4541
2.36160e-08,0.5281
2.36393e-08,0.5797
2.36625e-08,0.6073
2.36858e-08,0.6243
2.37091e-08,0.6356
2.37323e-08,0.6446
2.37556e-08,0.6518
2.37789e-08,0.6582
2.38021e-08,0.6632
2.38254e-08,0.6666
2.38487e-08,0.6687
2.38719e-08,0.6680
2.38952e-08,0.6644
2.39185e-08,0.6597
2.39417e-08,0.6562
2.39650e-08,0.6567
2.39883e-08,0.6628
2.40115e-08,0.6752
2.40348e-08,0.6954
2.40581e-08,0.7294
2.40813e-08,0.7805
2.41046e-08,0.8464
2.41279e-08,0.9209
2.41511e-08,0.9958
2.41744e-08,1.0624
2.41977e-08,1.1147
2.42209e-08,1.1514
2.42442e-08,1.1748
2.42675e-08,1.1898
2.42907e-08,1.2008
2.43140e-08,1.1894
2.43373e-08,1.1484
2.43605e-08,1.0202
2.43838e-08,0.8720
2.44071e-08,0.7674
2.44303e-08,0.7033
2.44536e-08,0.6607
2.44769e-08,0.6314
2.45002e-08,0.6082
2.45234e-08,0.5864
2.45467e-08,0.5652
